"Class1","Class2","Class3","Class4"
"abibal","Abies balsamea","Tree_Broad","Tree"
"acerub","Acer rubrum","Tree_Broad","Tree"
"acepen","Acer pensylvanicum","Tree_Broad","Tree"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"alnfru","Alnus sp.","Shrub_Alder","Shrub"
"alninc","Alnus Incana","Shrub_Alder","Shrub"
"arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arctop","Unknown","Lichen_Yellow","Unknown"
"asachr","Asahinea chrysantha","Lichen_Yellow","Lichen"
"aulpal","Aulacomnium palustre","Moss_Acrocarp","Moss"
"aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss"
"bare rock","Bare Rock","Abiotic_Rock","Abiotic"
"bare_soil","Bare Soil","Abiotic_Soil","Abiotic"
"betall","Betula alleghaniensis","Tree_Broad","Tree"
"betnan","Betula nana","Shrub_Other","Shrub"
"betneo","Betula neoalaskana","Tree_Broad","Tree"
"betpap","Betula papyrifera","Tree_Broad","Tree"
"betpop","Betula populifolia","Tree_Broad","Tree"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"calcan","Calamogrostis sp.","Graminoid_Grass","Graminoid"
"carlin","Carex sp.","Graminoid_Sedge","Graminoid"
"carlyn","Carex sp.","Graminoid_Sedge","Graminoid"
"carram","Carex sp.","Graminoid_Sedge","Graminoid"
"castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetlae","Cetraria laevigata","Lichen_Dark","Lichen"
"claama","Cladonia amaurocraea","Lichen_Yellow","Lichen"
"clacor","Cladonia cornuta","Lichen_Dark","Lichen"
"clacuc","Flavocetraria cucculata","Lichen_Dark","Lichen"
"clagra","Cladonia gracilis","Lichen_Dark","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasul","Cladonia sulphurina","Lichen_Yellow","Lichen"
"claunc","Cladonia uncialis","Lichen_Yellow","Lichen"
"dacarc","Dactylina arctica","Lichen_Yellow","Lichen"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub"
"dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"dryoct","Dryas octopetala","Dwarf_Shrub_Broad","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"equarv","Equisetum arvense","Forb","Forb"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"faggra","Fagus grandifolia","Tree_Broad","Tree"
"flacuc","Flavocetraria cucculata","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"fraame","Fraxinus americana","Tree_Broad","Tree"
"gravel","Gravel","Abiotic_Rock","Abiotic"
"grey_rhizocarpon","Rhizocarpon sp.","Lichen_Dark","Lichen"
"herlan","Heracleum lanatum","Forb","Forb"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
