"","Functional_group1","Functional_group1_wN","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance","Source"
"1","Abiotic","Abiotic (n= 94 scans, 5 species)",1000,27.8622,72.8969,12.2512,65.169625,15.6735875,68.7273,13.7782,"Ground"
"2","Abiotic","Abiotic (n= 94 scans, 5 species)",1001,27.8755,72.8989,12.2633,65.173075,15.6901875,68.7214,13.7971,"Ground"
"3","Abiotic","Abiotic (n= 94 scans, 5 species)",1002,27.8887,72.901,12.2754,65.1764625,15.70675,68.7155,13.816,"Ground"
"4","Abiotic","Abiotic (n= 94 scans, 5 species)",1003,27.9019,72.903,12.2876,65.1798125,15.7233125,68.7095,13.8348,"Ground"
"5","Abiotic","Abiotic (n= 94 scans, 5 species)",1004,27.9152,72.9051,12.2997,65.1832625,15.73985,68.7036,13.8537,"Ground"
"6","Abiotic","Abiotic (n= 94 scans, 5 species)",1005,27.9284,72.9071,12.3118,65.18665,15.7564125,68.6977,13.8726,"Ground"
"7","Abiotic","Abiotic (n= 94 scans, 5 species)",1006,27.9416,72.9091,12.3239,65.1901,15.7730125,68.6918,13.8914,"Ground"
"8","Abiotic","Abiotic (n= 94 scans, 5 species)",1007,27.9549,72.9112,12.336,65.1934875,15.789575,68.6859,13.9103,"Ground"
"9","Abiotic","Abiotic (n= 94 scans, 5 species)",1008,27.9686,72.914,12.3484,65.1974375,15.8061625,68.6807,13.9295,"Ground"
"10","Abiotic","Abiotic (n= 94 scans, 5 species)",1009,27.9822,72.9168,12.3608,65.2013625,15.8228125,68.6754,13.9488,"Ground"
"11","Abiotic","Abiotic (n= 94 scans, 5 species)",1010,27.9953,72.9185,12.3728,65.2045125,15.83935,68.6692,13.9675,"Ground"
"12","Abiotic","Abiotic (n= 94 scans, 5 species)",1011,28.01195,72.9178,12.3838,65.206025,15.8557,68.6608,13.985,"Ground"
"13","Abiotic","Abiotic (n= 94 scans, 5 species)",1012,28.0494,72.9134,12.3932,65.20505,15.8713375,68.6491,14.0006,"Ground"
"14","Abiotic","Abiotic (n= 94 scans, 5 species)",1013,28.08675,72.9078,12.4022,65.2032375,15.8869625,68.6364,14.0158,"Ground"
"15","Abiotic","Abiotic (n= 94 scans, 5 species)",1014,28.12485,72.9048,12.4122,65.2004375,15.903475,68.6254,14.0322,"Ground"
"16","Abiotic","Abiotic (n= 94 scans, 5 species)",1015,28.1646,72.9075,12.425,65.2005625,15.9218625,68.6183,14.0518,"Ground"
"17","Abiotic","Abiotic (n= 94 scans, 5 species)",1016,28.20655,72.9161,12.4405,65.203375,15.94295,68.6146,14.0749,"Ground"
"18","Abiotic","Abiotic (n= 94 scans, 5 species)",1017,28.24905,72.9272,12.4571,65.2077625,15.96455,68.6128,14.0991,"Ground"
"19","Abiotic","Abiotic (n= 94 scans, 5 species)",1018,28.29,72.9368,12.4727,65.2123375,15.9842,68.6115,14.1223,"Ground"
"20","Abiotic","Abiotic (n= 94 scans, 5 species)",1019,28.32795,72.9418,12.4858,65.21605,15.999625,68.6099,14.1422,"Ground"
"21","Abiotic","Abiotic (n= 94 scans, 5 species)",1020,28.36345,72.9435,12.4971,65.2193625,16.0114875,68.6084,14.1595,"Ground"
"22","Abiotic","Abiotic (n= 94 scans, 5 species)",1021,28.39765,72.944,12.5075,65.223,16.021625,68.6074,14.1759,"Ground"
"23","Abiotic","Abiotic (n= 94 scans, 5 species)",1022,28.43155,72.9454,12.518,65.227375,16.0319125,68.6069,14.1932,"Ground"
