Code_name,Species_name,Genus,Functionalgroup2,Functional_group1,Functional_Group0
dead salix,Dead Salix,LeafLitter,Litter,Abiotic,Abiotic
spruce bark,Pices (bark),Wood,Litter,Abiotic,Abiotic
bare rock,Bare Rock,Rock,Mineral,Abiotic,Abiotic
gravel,Bare Soil,Rock,Mineral,Abiotic,Abiotic
quartz,Quartz,Rock,Mineral,Abiotic,Abiotic
bare_soil,Bare Soil,Soil,Mineral,Abiotic,Abiotic
equarv,Equisetum arvense,Equisetum,FernAlly,Forb,Forb
equsyl,Equisetum sylvaticum,Equisetum,FernAlly,Forb,Forb
EQAR,Equisetum arvense,Equisetum,FernAlly,Forb,Forb
DOFR,Arenaria pseudofrigida,Arenia,ForbFlower,Forb,Forb
herlan,Heracleum lanatum,Heracleum,ForbFlower,Forb,Forb
HIERA,Hieracium sp.,Hieracium,ForbFlower,Forb,Forb
irisit,Iris sp.,Iris,ForbFlower,Forb,Forb
luparc,Lupinus sp.,Lupinus,ForbFlower,Forb,Forb
pedrac,Pedicularis racemosa,Pedicularis,ForbFlower,Forb,Forb
pedsud,Pedicularis sudetica,Pedicularis,ForbFlower,Forb,Forb
petfri,Petasites frigida,Petasites,ForbFlower,Forb,Forb
PEFR5,Pestasites frigidus,Petasites,ForbFlower,Forb,Forb
SAPU6,Saxifraga punctata,Saxifraga,ForbFlower,Forb,Forb
toefeldia,Toefeldia sp.,Toefeldia,ForbFlower,Forb,Forb
ARLA2,Arctagrostis latifolia,Arctagrostis,GraminoidGrass,Graminoid,Graminoid
ARFU2,Arctophila fulva,Arctophila,GraminoidGrass,Graminoid,Graminoid
calcan,Calamogrostis sp.,Calamagrostis,GraminoidGrass,Graminoid,Graminoid
DUFI,Dupontia fisheri,Dupontia,GraminoidGrass,Graminoid,Graminoid
carlin,Carex sp.,Carex,GraminoidSedge,Graminoid,Graminoid
carlyn,Carex sp.,Carex,GraminoidSedge,Graminoid,Graminoid
carram,Carex sp.,Carex,GraminoidSedge,Graminoid,Graminoid
CAAQ,Carex aquatilis,Carex,GraminoidSedge,Graminoid,Graminoid
erivag,Eriophorum vaginatum,Eriophorum,GraminoidSedge,Graminoid,Graminoid
ERAN6,Eriophorum angustifolium,Eriophorum,GraminoidSedge,Graminoid,Graminoid
