"X","x"
1,"TreeConifer"
2,"TreeConifer"
3,"ShrubEvergreen"
4,"TreeConifer"
5,"TreeConifer"
6,"TreeConifer"
7,"TreeConifer"
8,"Abiotic"
9,"TreeConifer"
10,"TreeConifer"
11,"TreeConifer"
12,"Graminoid"
13,"TreeConifer"
14,"TreeConifer"
15,"TreeConifer"
16,"TreeConifer"
17,"TreeConifer"
18,"TreeConifer"
19,"TreeConifer"
20,"TreeConifer"
21,"TreeConifer"
22,"Graminoid"
23,"TreeConifer"
24,"Abiotic"
25,"ShrubDecid"
26,"TreeConifer"
27,"Abiotic"
28,"TreeConifer"
29,"TreeConifer"
30,"Abiotic"
31,"Moss"
32,"Lichen"
33,"Abiotic"
34,"Abiotic"
35,"Abiotic"
36,"TreeConifer"
37,"TreeConifer"
38,"TreeConifer"
39,"TreeConifer"
40,"TreeConifer"
41,"ShrubDecid"
42,"TreeConifer"
43,"TreeConifer"
44,"TreeConifer"
45,"TreeConifer"
46,"TreeConifer"
47,"TreeConifer"
48,"TreeConifer"
49,"TreeConifer"
50,"TreeConifer"
51,"ShrubDecid"
52,"TreeConifer"
53,"TreeBroadleaf"
54,"TreeConifer"
55,"TreeConifer"
56,"TreeConifer"
57,"TreeConifer"
58,"TreeConifer"
59,"TreeConifer"
60,"TreeConifer"
61,"Graminoid"
62,"Abiotic"
63,"TreeConifer"
64,"TreeConifer"
65,"TreeConifer"
66,"TreeConifer"
67,"TreeConifer"
68,"TreeConifer"
69,"TreeConifer"
70,"Abiotic"
71,"TreeConifer"
72,"TreeConifer"
73,"TreeConifer"
74,"Abiotic"
75,"TreeConifer"
76,"TreeConifer"
77,"TreeConifer"
78,"TreeConifer"
79,"TreeConifer"
80,"ShrubDecid"
81,"Lichen"
82,"TreeConifer"
83,"TreeConifer"
84,"TreeConifer"
85,"ShrubDecid"
86,"TreeConifer"
87,"TreeConifer"
88,"TreeConifer"
89,"Abiotic"
90,"Abiotic"
91,"TreeConifer"
92,"TreeConifer"
93,"TreeConifer"
94,"TreeConifer"
95,"TreeConifer"
96,"ShrubEvergreen"
97,"Abiotic"
98,"TreeConifer"
99,"ShrubEvergreen"
100,"Abiotic"
101,"Moss"
102,"Lichen"
103,"ShrubEvergreen"
104,"TreeConifer"
105,"TreeConifer"
106,"TreeConifer"
107,"TreeConifer"
108,"Abiotic"
109,"TreeConifer"
110,"TreeConifer"
111,"TreeConifer"
112,"TreeConifer"
113,"Abiotic"
114,"Abiotic"
115,"Moss"
116,"TreeConifer"
117,"TreeConifer"
118,"TreeConifer"
119,"Abiotic"
120,"Lichen"
121,"ShrubDecid"
122,"TreeConifer"
123,"ShrubEvergreen"
124,"TreeConifer"
125,"TreeConifer"
126,"TreeConifer"
127,"ShrubEvergreen"
128,"ShrubEvergreen"
129,"TreeConifer"
130,"TreeConifer"
131,"TreeConifer"
132,"TreeConifer"
133,"TreeConifer"
134,"Abiotic"
135,"TreeConifer"
136,"Abiotic"
137,"Lichen"
138,"TreeConifer"
139,"TreeConifer"
140,"TreeConifer"
141,"TreeConifer"
142,"TreeConifer"
143,"TreeConifer"
144,"TreeBroadleaf"
145,"TreeConifer"
146,"TreeConifer"
147,"Abiotic"
148,"TreeConifer"
149,"TreeConifer"
150,"TreeConifer"
151,"TreeConifer"
152,"Abiotic"
153,"TreeConifer"
154,"Abiotic"
155,"TreeBroadleaf"
156,"ShrubEvergreen"
157,"ShrubEvergreen"
158,"TreeConifer"
159,"TreeConifer"
160,"TreeConifer"
161,"Abiotic"
162,"TreeConifer"
163,"Moss"
164,"TreeConifer"
165,"Graminoid"
166,"TreeConifer"
167,"TreeConifer"
168,"ShrubEvergreen"
169,"TreeConifer"
170,"TreeConifer"
171,"Lichen"
172,"Abiotic"
173,"Abiotic"
174,"ShrubDecid"
175,"ShrubDecid"
176,"ShrubEvergreen"
177,"Graminoid"
178,"Abiotic"
179,"TreeConifer"
180,"TreeConifer"
181,"TreeBroadleaf"
182,"Abiotic"
183,"TreeConifer"
184,"TreeConifer"
185,"TreeConifer"
186,"TreeConifer"
187,"TreeConifer"
188,"TreeConifer"
189,"TreeConifer"
190,"TreeConifer"
191,"Graminoid"
192,"TreeConifer"
193,"TreeConifer"
194,"TreeBroadleaf"
195,"Lichen"
196,"TreeConifer"
197,"Abiotic"
198,"Abiotic"
199,"TreeConifer"
200,"TreeConifer"
201,"TreeConifer"
202,"TreeConifer"
203,"TreeConifer"
204,"TreeConifer"
205,"TreeConifer"
206,"TreeConifer"
207,"TreeConifer"
208,"TreeConifer"
209,"Graminoid"
210,"TreeConifer"
211,"TreeConifer"
212,"TreeConifer"
213,"Abiotic"
214,"Abiotic"
215,"TreeConifer"
216,"TreeConifer"
217,"Abiotic"
218,"TreeConifer"
219,"TreeConifer"
220,"ShrubEvergreen"
221,"TreeConifer"
222,"TreeConifer"
223,"TreeConifer"
224,"TreeConifer"
225,"TreeConifer"
226,"TreeConifer"
227,"TreeConifer"
228,"TreeConifer"
229,"TreeConifer"
230,"Abiotic"
231,"TreeConifer"
232,"TreeConifer"
233,"TreeConifer"
234,"TreeConifer"
235,"TreeConifer"
236,"Abiotic"
237,"TreeConifer"
238,"TreeConifer"
239,"TreeConifer"
240,"TreeConifer"
241,"TreeConifer"
242,"TreeConifer"
243,"TreeConifer"
244,"TreeConifer"
245,"Abiotic"
246,"TreeConifer"
247,"Abiotic"
248,"TreeConifer"
249,"TreeConifer"
250,"Abiotic"
251,"TreeConifer"
252,"Abiotic"
253,"TreeConifer"
254,"TreeConifer"
255,"TreeConifer"
256,"TreeConifer"
257,"TreeConifer"
258,"Graminoid"
259,"TreeConifer"
260,"TreeConifer"
261,"TreeConifer"
262,"TreeConifer"
263,"Abiotic"
264,"TreeBroadleaf"
265,"TreeConifer"
266,"TreeConifer"
267,"TreeConifer"
268,"Abiotic"
269,"TreeConifer"
270,"Abiotic"
271,"Abiotic"
272,"Moss"
273,"Graminoid"
274,"TreeConifer"
275,"TreeConifer"
276,"TreeConifer"
277,"TreeConifer"
278,"TreeConifer"
279,"TreeConifer"
280,"TreeConifer"
281,"Abiotic"
282,"Abiotic"
283,"TreeConifer"
284,"TreeConifer"
285,"TreeConifer"
286,"TreeConifer"
287,"TreeConifer"
288,"ShrubEvergreen"
289,"Abiotic"
290,"TreeConifer"
291,"Abiotic"
292,"Abiotic"
293,"TreeConifer"
294,"Abiotic"
295,"TreeConifer"
296,"TreeConifer"
297,"TreeConifer"
298,"TreeConifer"
299,"TreeConifer"
300,"TreeConifer"
301,"Abiotic"
302,"TreeConifer"
303,"TreeConifer"
304,"Graminoid"
305,"TreeConifer"
306,"TreeConifer"
307,"ShrubDecid"
308,"TreeConifer"
309,"ShrubDecid"
310,"Abiotic"
311,"ShrubEvergreen"
312,"TreeConifer"
313,"ShrubDecid"
314,"Abiotic"
315,"TreeConifer"
316,"TreeConifer"
317,"TreeConifer"
318,"TreeConifer"
319,"TreeConifer"
320,"Graminoid"
321,"TreeConifer"
322,"TreeConifer"
323,"TreeConifer"
324,"TreeConifer"
325,"Moss"
326,"TreeConifer"
327,"TreeConifer"
328,"TreeConifer"
329,"TreeConifer"
330,"TreeConifer"
331,"TreeConifer"
332,"ShrubEvergreen"
333,"TreeConifer"
334,"TreeConifer"
335,"TreeBroadleaf"
336,"TreeConifer"
337,"TreeConifer"
338,"TreeConifer"
339,"TreeConifer"
340,"TreeConifer"
341,"TreeBroadleaf"
342,"ShrubEvergreen"
343,"TreeConifer"
344,"TreeConifer"
345,"TreeConifer"
346,"Abiotic"
347,"ShrubEvergreen"
348,"Abiotic"
349,"TreeConifer"
350,"TreeConifer"
351,"TreeConifer"
352,"TreeConifer"
353,"TreeConifer"
354,"TreeConifer"
355,"Abiotic"
356,"TreeConifer"
357,"TreeBroadleaf"
358,"TreeConifer"
359,"Abiotic"
360,"Abiotic"
361,"Abiotic"
362,"Graminoid"
363,"TreeConifer"
364,"TreeConifer"
365,"TreeConifer"
366,"Abiotic"
367,"TreeConifer"
368,"TreeConifer"
369,"TreeConifer"
370,"TreeConifer"
371,"Lichen"
372,"TreeConifer"
373,"TreeConifer"
374,"Abiotic"
375,"TreeConifer"
376,"Abiotic"
377,"TreeConifer"
378,"TreeConifer"
379,"Abiotic"
380,"TreeConifer"
381,"TreeConifer"
382,"TreeConifer"
383,"Abiotic"
384,"TreeConifer"
385,"TreeConifer"
386,"TreeConifer"
387,"TreeConifer"
388,"Abiotic"
389,"TreeConifer"
390,"TreeConifer"
391,"TreeConifer"
392,"Abiotic"
393,"TreeConifer"
394,"TreeConifer"
395,"TreeConifer"
396,"TreeConifer"
397,"Abiotic"
398,"Abiotic"
399,"Abiotic"
400,"TreeBroadleaf"
401,"TreeConifer"
402,"Lichen"
403,"TreeConifer"
404,"TreeConifer"
405,"TreeConifer"
406,"TreeConifer"
407,"Lichen"
408,"Moss"
409,"TreeConifer"
410,"ShrubEvergreen"
411,"TreeConifer"
412,"Abiotic"
413,"TreeConifer"
414,"Moss"
415,"Graminoid"
416,"TreeConifer"
417,"Lichen"
418,"ShrubDecid"
419,"TreeConifer"
420,"Graminoid"
421,"TreeConifer"
422,"TreeConifer"
423,"TreeConifer"
424,"ShrubEvergreen"
425,"Lichen"
426,"Abiotic"
427,"TreeConifer"
428,"Abiotic"
429,"TreeBroadleaf"
430,"TreeConifer"
431,"Abiotic"
432,"TreeConifer"
433,"TreeBroadleaf"
434,"Abiotic"
435,"TreeConifer"
436,"TreeConifer"
437,"TreeConifer"
438,"TreeConifer"
439,"ShrubEvergreen"
440,"TreeConifer"
441,"Graminoid"
442,"TreeConifer"
443,"TreeConifer"
444,"Abiotic"
445,"TreeConifer"
446,"TreeConifer"
447,"TreeConifer"
448,"TreeConifer"
449,"TreeConifer"
450,"TreeConifer"
451,"TreeBroadleaf"
452,"TreeConifer"
453,"TreeConifer"
454,"TreeConifer"
455,"TreeConifer"
456,"TreeConifer"
457,"TreeConifer"
458,"TreeConifer"
459,"TreeConifer"
460,"Abiotic"
461,"Abiotic"
462,"ShrubEvergreen"
463,"TreeConifer"
464,"Abiotic"
465,"TreeConifer"
466,"ShrubDecid"
467,"TreeConifer"
468,"TreeConifer"
469,"Abiotic"
470,"TreeConifer"
471,"TreeConifer"
472,"TreeConifer"
473,"TreeConifer"
474,"TreeConifer"
475,"Moss"
476,"TreeConifer"
477,"TreeConifer"
478,"Abiotic"
479,"Moss"
480,"TreeConifer"
481,"TreeConifer"
482,"Abiotic"
483,"TreeConifer"
484,"TreeConifer"
485,"TreeConifer"
486,"TreeConifer"
487,"TreeBroadleaf"
488,"ShrubDecid"
489,"TreeConifer"
490,"Abiotic"
491,"TreeConifer"
492,"TreeConifer"
493,"TreeConifer"
494,"TreeConifer"
495,"TreeConifer"
496,"TreeConifer"
497,"TreeConifer"
498,"TreeConifer"
499,"TreeConifer"
500,"TreeConifer"
501,"TreeConifer"
502,"Abiotic"
503,"TreeConifer"
504,"ShrubEvergreen"
505,"TreeConifer"
506,"Abiotic"
507,"TreeConifer"
508,"TreeConifer"
509,"Graminoid"
510,"TreeConifer"
511,"Graminoid"
512,"TreeConifer"
513,"TreeConifer"
514,"TreeConifer"
515,"TreeConifer"
516,"TreeConifer"
517,"TreeConifer"
518,"ShrubEvergreen"
519,"TreeConifer"
520,"TreeConifer"
521,"Abiotic"
522,"TreeConifer"
523,"TreeConifer"
524,"TreeConifer"
525,"Moss"
526,"TreeConifer"
527,"Moss"
528,"TreeConifer"
529,"TreeConifer"
530,"TreeConifer"
531,"TreeConifer"
532,"TreeConifer"
533,"TreeConifer"
534,"Lichen"
535,"TreeConifer"
536,"ShrubEvergreen"
537,"TreeConifer"
538,"Abiotic"
539,"Abiotic"
540,"TreeConifer"
541,"TreeConifer"
542,"Moss"
543,"TreeConifer"
544,"TreeConifer"
545,"TreeConifer"
546,"TreeConifer"
547,"TreeConifer"
548,"TreeConifer"
549,"TreeConifer"
550,"TreeConifer"
551,"Abiotic"
552,"TreeConifer"
553,"TreeBroadleaf"
554,"TreeConifer"
555,"Abiotic"
556,"TreeConifer"
557,"TreeConifer"
558,"Abiotic"
559,"TreeConifer"
560,"TreeConifer"
561,"TreeConifer"
562,"TreeConifer"
563,"ShrubDecid"
564,"Abiotic"
565,"Graminoid"
566,"TreeConifer"
567,"TreeConifer"
568,"TreeConifer"
569,"TreeConifer"
570,"TreeConifer"
571,"TreeConifer"
572,"Abiotic"
573,"TreeConifer"
574,"TreeConifer"
575,"TreeConifer"
576,"TreeConifer"
577,"Abiotic"
578,"TreeConifer"
579,"TreeConifer"
580,"TreeConifer"
581,"Moss"
582,"TreeConifer"
583,"TreeConifer"
584,"TreeConifer"
585,"TreeConifer"
586,"TreeConifer"
