"","x"
"1","Lichen"
"2","Lichen"
"3","Lichen"
"4","Lichen"
"5","Lichen"
"6","ShrubDecid"
"7","ShrubDecid"
"8","ShrubDecid"
"9","ShrubDecid"
"10","ShrubDecid"
"11","ShrubDecid"
"12","ShrubDecid"
"13","ShrubDecid"
"14","ShrubDecid"
"15","ShrubDecid"
"16","ShrubDecid"
"17","ShrubDecid"
"18","ShrubDecid"
"19","ShrubDecid"
"20","ShrubDecid"
"21","ShrubDecid"
"22","ShrubDecid"
"23","ShrubDecid"
"24","ShrubDecid"
"25","ShrubDecid"
"26","ShrubDecid"
"27","ShrubDecid"
"28","ShrubDecid"
"29","ShrubDecid"
"30","ShrubDecid"
"31","ShrubDecid"
"32","ShrubDecid"
"33","ShrubDecid"
"34","ShrubDecid"
"35","ShrubDecid"
"36","ShrubDecid"
"37","ShrubDecid"
"38","ShrubDecid"
"39","ShrubDecid"
"40","ShrubDecid"
"41","ShrubDecid"
"42","ShrubDecid"
"43","Graminoid"
"44","Graminoid"
"45","Graminoid"
"46","Graminoid"
"47","Lichen"
"48","Lichen"
"49","Lichen"
"50","Lichen"
"51","Graminoid"
"52","Graminoid"
"53","Graminoid"
"54","Graminoid"
"55","Graminoid"
"56","Graminoid"
"57","Graminoid"
"58","ShrubDecid"
"59","ShrubDecid"
"60","ShrubDecid"
"61","ShrubDecid"
"62","ShrubDecid"
"63","ShrubDecid"
"64","ShrubDecid"
"65","ShrubDecid"
"66","ShrubDecid"
"67","ShrubDecid"
"68","ShrubDecid"
"69","ShrubDecid"
"70","ShrubDecid"
"71","ShrubDecid"
"72","ShrubDecid"
"73","ShrubDecid"
"74","ShrubDecid"
"75","Forb"
"76","Lichen"
"77","Lichen"
"78","Lichen"
"79","Lichen"
"80","Lichen"
"81","Lichen"
"82","Lichen"
"83","Lichen"
"84","Lichen"
"85","Lichen"
"86","Lichen"
"87","Lichen"
"88","Lichen"
"89","Lichen"
"90","Lichen"
"91","Lichen"
"92","Lichen"
"93","Lichen"
"94","Lichen"
"95","Moss"
"96","Moss"
"97","Moss"
"98","Moss"
"99","Moss"
"100","Moss"
"101","Moss"
"102","Moss"
"103","Moss"
"104","Moss"
"105","Moss"
"106","Moss"
"107","Abiotic"
"108","Abiotic"
"109","Abiotic"
"110","Abiotic"
"111","Abiotic"
"112","Abiotic"
"113","Abiotic"
"114","Abiotic"
"115","Abiotic"
"116","Abiotic"
"117","Abiotic"
"118","Abiotic"
"119","Abiotic"
"120","Abiotic"
"121","Abiotic"
"122","Abiotic"
"123","Abiotic"
"124","Abiotic"
"125","Abiotic"
"126","Abiotic"
"127","ShrubDecid"
"128","ShrubDecid"
"129","ShrubDecid"
"130","ShrubDecid"
"131","ShrubDecid"
"132","ShrubDecid"
"133","ShrubDecid"
"134","ShrubDecid"
"135","ShrubDecid"
"136","ShrubDecid"
"137","ShrubDecid"
"138","ShrubDecid"
"139","ShrubDecid"
"140","ShrubDecid"
"141","ShrubDecid"
"142","ShrubDecid"
"143","ShrubDecid"
"144","ShrubDecid"
"145","ShrubDecid"
"146","ShrubDecid"
"147","ShrubDecid"
"148","ShrubDecid"
"149","ShrubDecid"
"150","ShrubDecid"
"151","ShrubDecid"
"152","ShrubDecid"
"153","ShrubDecid"
"154","ShrubDecid"
"155","ShrubDecid"
"156","ShrubDecid"
"157","ShrubDecid"
"158","ShrubDecid"
"159","ShrubDecid"
"160","ShrubDecid"
"161","ShrubDecid"
"162","ShrubDecid"
"163","ShrubDecid"
"164","ShrubDecid"
"165","ShrubDecid"
"166","ShrubDecid"
"167","ShrubDecid"
"168","ShrubDecid"
"169","ShrubDecid"
"170","ShrubDecid"
"171","ShrubDecid"
"172","ShrubDecid"
"173","ShrubDecid"
"174","ShrubDecid"
"175","ShrubDecid"
"176","ShrubDecid"
"177","ShrubDecid"
"178","ShrubDecid"
"179","ShrubDecid"
"180","ShrubDecid"
