Site,Measurement_Date,Spectra_Name,Sample_ID,USDA_Species_Code,Spectrometer_GPS_Lat,Spectrometer_GPS_Long,Measurement_Time_UTC,Instrument,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2807,BNL2807,ERAN6,71.27563667,-156.6389967,0:04,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2812,BNL2812,ERAN6,71.275645,-156.638965,23:00,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2812_redo,BNL2812,ERAN6,71.27564667,-156.6389617,23:56,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2813,BNL2813,ERAN6,71.27564,-156.6389083,22:53,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2813_redo1,BNL2813,ERAN6,71.27564167,-156.6389167,23:53,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140716,BNL2813_redo2,BNL2813,ERAN6,71.27563833,-156.6389033,23:58,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1503,BNL1503,PEFR5,71.27557667,-156.6407133,22:54,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1504,BNL1504,PEFR5,71.27552,-156.64087,23:02,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1505,BNL1505,PEFR5,71.27555,-156.6408767,22:40,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1506,BNL1506,PEFR5,71.27558167,-156.6407567,22:48,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1508,BNL1508,PEFR5,71.27559667,-156.64098,22:28,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1509,BNL1509,PEFR5,71.27557,-156.6406567,23:28,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL1540,BNL1540,PEFR5,71.275555,-156.6408633,22:31,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL2806,BNL2806,PEFR5,71.27553167,-156.6408617,23:37,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL2808,BNL2808,PEFR5,71.27554333,-156.6408283,0:40,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20140715,BNL2811,BNL2811,PEFR5,71.27557333,-156.6406967,1:05,SVC_HR-1024i,4deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,SVC_10x10_99AA03-1213-7872,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1557,BNL1557,PEFR5,71.27476833,-156.6388217,19:01,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1558,BNL1558,PEFR5,71.27541333,-156.641035,19:58,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1559,BNL1559,PEFR5,71.27550167,-156.6410617,19:49,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1560,BNL1560,PEFR5,71.275565,-156.6410717,19:40,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1561,BNL1561,PEFR5,71.27526833,-156.64088,19:23,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1562,BNL1562,PEFR5,71.27579,-156.64126,21:23,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1563,BNL1563,PEFR5,71.27561,-156.64096,20:43,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1564,BNL1564,PEFR5,71.27555333,-156.6408217,20:27,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1565,BNL1565,PEFR5,71.27560833,-156.64107,20:19,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1566,BNL1566,PEFR5,71.27570833,-156.6411817,21:15,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1567,BNL1567,PEFR5,71.27554167,-156.6408533,22:51,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150710,1568,BNL1568,PEFR5,71.27562667,-156.641085,23:09,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
