Sample_ID,USDA_Species,Sample_Date
1236,SAPU15,20190725
1238,SAPU15,20190725
1240,SAPU15,20190725
1242,SAPU15,20190725
1244,SAPU15,20190725
1245,PEFR5,20190725
1246,SAPU15,20190725
1247,SAPU15,20190725
1248,SAPU6,20190725
1249,SAPU15,20190725
1251,SAPU15,20190725
1253,SAPU15,20190725
1255,PEFR5,20190725
1256,SAPU6,20190725
1257,PEFR5,20190725
1258,SAPU6,20190725
1259,PEFR5,20190725
1260,SAPU6,20190725
1261,PEFR5,20190725
1262,SAPU6,20190725
1264,SAPU6,20190725
1265,ARFU2,20190725
1266,SAPU6,20190725
1267,ARFU2,20190725
1268,SAPU6,20190725
1269,ARFU2,20190725
1270,SAPU6,20190725
1271,ARFU2,20190725
1272,SAPU6,20190725
1281,ARFU2,20190725
1303,DUFI,20190725
1305,CAAQ,20190725
1307,CAAQ,20190725
1309,CAAQ,20190725
1313,CAAQ,20190725
1315,CAAQ,20190725
1317,CAAQ,20190725
1321,CAAQ,20190725
1323,PEFR5,20190725
1324,CAAQ,20190725
1325,PEFR5,20190725
1327,PEFR5,20190725
1328,DUFI,20190725
1329,PEFR5,20190725
1330,DUFI,20190725
1331,PEFR5,20190725
1332,DUFI,20190725
1334,DUFI,20190725
1336,DUFI,20190725
1338,DUFI,20190725
1340,DUFI,20190725
1342,DUFI,20190725
1344,DUFI,20190725
1363,ARLA2,20190725
1365,ARLA2,20190725
1369,ARLA2,20190725
1373,ARLA2,20190725
1379,ARLA2,20190725
1383,ERAN6,20190725
1384,VAVI,20190725
1385,ERAN6,20190725
1387,ERAN6,20190725
1389,ERAN6,20190725
1391,ERAN6,20190725
1393,ERAN6,20190725
1395,ERAN6,20190725
1397,ERAN6,20190725
1399,ERAN6,20190725
1400,ERAN6,20190725
