"Aulacomnium palustre","Aulacomnium turgidum","Ceratadon purpureus","Dicranum sp.","Hylocomium splendens","Plagiomnium sp.","Pleurozium schreberi","Polytrichum juniperinum","Polytrichum sp.","Racomitrium lanoiginosum","Rhytidum rugosum","Sphagnum fuscum","Sphagnum sp.","Tomenthypnum nitens","class.error"
3,0,0,0,0,0,0,0,1,0,2,0,0,0,0.5
1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.666666666666667
0,0,0,3,0,0,0,0,1,0,0,0,0,0,0.25
0,1,0,0,8,0,0,0,0,0,0,0,1,0,0.2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.666666666666667
0,0,2,0,1,0,0,5,1,0,0,0,0,0,0.444444444444444
0,0,0,0,0,0,0,2,10,0,0,0,0,0,0.166666666666667
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333333333333333
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,6,0,0.142857142857143
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
