"Code_name","Species_name","Functional_group1","Functional_group2"
"abibal","Abies balsamea","Tree_Evergreen","Tree_Evergreen"
"acerub","Acer rubrum","Tree_Decid","Tree_Decid"
"acepen","Acer pensylvanicum","Tree_Decid","Tree_Decid"
"aleoch","Alectoria ochroleuca","Lichen_Fruticose_Yellow","Lichen"
"alnfru","Alnus sp.","Shrub_Alder","Shrub_Decid"
"alninc","Alnus sp.","Shrub_Alder","Shrub_Decid"
"arccen","Arctocetraria centrifuga","Lichen_Foliose_Yellow","Lichen"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Decid","Shrub_Decid"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Decid","Shrub_Decid"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Decid","Shrub_Decid"
"arctop","Unknown","Lichen_Foliose_Yellow","Lichen"
"asachr","Asahinea chrysantha","Lichen_Foliose_Yellow","Lichen"
"aulpal","Aulacomnium palustre","Moss_Aulacomnium","Moss"
"aultur","Aulacomnium turgidum","Moss_Aulacomnium","Moss"
"bare rock","Bare Rock","Rock","Abiotic"
"bare_soil","Bare Soil","Soil","Abiotic"
"betall","Betula alleghaniensis","Tree_Decid","Tree_Decid"
"betnan","Betula nana","Shrub_Betula","Shrub_Decid"
"betneo","Betula neoalaskana","Tree_Decid","Tree_Decid"
"betpap","Betula papyrifera","Tree_Decid","Tree_Decid"
"betpop","Betula populifolia","Tree_Decid","Tree_Decid"
"bryoria","Bryoria sp.","Lichen_Epiphyte_Dark","Lichen"
"calcan","Calamogrostis sp.","Graminoid_Grass","Graminoid"
"carlin","Carex sp.","Graminoid_Sedge","Graminoid"
"carlyn","Carex sp.","Graminoid_Sedge","Graminoid"
"carram","Carex sp.","Graminoid_Sedge","Graminoid"
"castet","Cassiope tetragona","Shrub_Evergreen","Shrub_Evergreen"
"cerpur","Ceratadon purpureus","Moss_Ceratadon","Moss"
"cetisl","Cetraria islandica","Lichen_Fruticose_Dark","Lichen"
"cetlae","Cetraria laevigata","Lichen_Fruticose_Dark","Lichen"
"claama","Cladonia amaurocraea","Lichen_Fruticose_Yellow","Lichen"
"clacor","Cladonia cornuta","Lichen_Fruticose_Dark","Lichen"
"clacuc","Flavocetraria cucculata","Lichen_Fruticose_Dark","Lichen"
"clagra","Cladonia gracilis","Lichen_Fruticose_Dark","Lichen"
"clamit","Cladonia mitis","Lichen_Fruticose_Yellow","Lichen"
"claran","Cladonia rangiferina","Lichen_Fruticose_Light","Lichen"
"claste","Cladonia steallaris","Lichen_Fruticose_Yellow","Lichen"
"clasty","Cladonia stygia","Lichen_Fruticose_Light","Lichen"
"clasul","Cladonia sulphurina","Lichen_Fruticose_Yellow","Lichen"
"claunc","Cladonia uncialis","Lichen_Fruticose_Yellow","Lichen"
"dacarc","Dactylina arctica","Lichen_Fruticose_Yellow","Lichen"
"dead salix","Dead Salix","Litter","Abiotic"
"dicranum","Dicranum sp.","Moss_Dicranum","Moss"
"dryala","Dryas sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"dryhyb","Dryas sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"dryoct","Dryas sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"empnig","Empetrum nigrum","Shrub_Evergreen","Shrub_Evergreen"
"equarv","Equisetum arvense","Forb","Forb"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"evemes","Evernia mesomorpha","Lichen_Epiphyte_Yellow","Lichen"
"faggra","Fagus grandifolia","Tree_Decid","Tree_Decid"
"flacuc","Flavocetraria cucculata","Lichen_Fruticose_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Fruticose_Yellow","Lichen"
"fraame","Fraxinus americana","Tree_Decid","Tree_Decid"
"gravel","Bare Soil","Soil","Abiotic"
"grey_rhizocarpon","Rhizocarpon sp.","Lichen_Crustose_Dark","Lichen"
"herlan","Heracleum lanatum","Forb","Forb"
"hylspl","Hylocomium splendens","Moss_Hylocomnium","Moss"
"hypaus","Hypogymnia austerodes","Lichen_Epiphyte_Dark","Lichen"
"hypspl","Hylocomium splendens","Moss_Hylocomnium","Moss"
"icmeri","Icmadophila ericetorum","Lichen_Crustose_Light","Lichen"
"irisit","Iris sp.","Forb","Forb"
"larlar","Larix larcina","Tree_Evergreen","Tree_Evergreen"
"leddec","Ledum decumbens","Shrub_Evergreen","Shrub_Evergreen"
"loipro","Loisleuria procumbens","Shrub_Evergreen","Shrub_Evergreen"
"luparc","Lupinus sp.","Forb","Forb"
"masric","Masonhalea richardsonii","Lichen_Foliose_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Foliose_Dark","Lichen"
"melhep","Melanelia sp.","Lichen_Foliose_Dark","Lichen"
"neparc","Nephroma arcticum","Lichen_Foliose_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Foliose_Yellow","Lichen"
"orange_Porpidia","Porpidia sp.","Lichen_Crustose_Dark","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Foliose_Yellow","Lichen"
"paromp","Parmelia omphalodes","Lichen_Foliose_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Foliose_Light","Lichen"
"pedrac","Pedicularis racemosa","Forb","Forb"
"pedsud","Pedicularis sudetica","Forb","Forb"
"pelapt","Peltigera apthosa","Lichen_Foliose_Dark_Peltigera","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Foliose_Dark_Peltigera","Lichen"
"pelmal","Peltigera malacea","Lichen_Foliose_Dark_Peltigera","Lichen"
"pelsca","Peltigera scabrata","Lichen_Foliose_Dark_Peltigera","Lichen"
"petfri","Petasites frigida","Forb","Forb"
"picmar","Picea mariana","Tree_Evergreen","Tree_Evergreen"
"picrub","Picea rubens","Tree_Evergreen","Tree_Evergreen"
"pilaci","Pilophorus acicularis","Lichen_Crustose_Light","Lichen"
"pinstr","Pinus strobus","Tree_Evergreen","Tree_Evergreen"
"plagiomnium","Plagiomnium sp.","Moss_Plagiomnium","Moss"
"popbal","Populus balsamifera","Tree_Decid","Tree_Decid"
"popgra","Populus grandidentata","Tree_Decid","Tree_Decid"
"prupen","Prunus pensylvanica","Tree_Decid","Tree_Decid"
"plesch","Pleurozium schreberi","Moss_Pleurozium","Moss"
"poljen","Polytrichum juniperinum","Moss_Polytrichum","Moss"
"poljun","Polytrichum juniperinum","Moss_Polytrichum","Moss"
"polstr","Polytrichum strictum","Moss_Polytrichum","Moss"
"polytrichum","Polytrichum sp.","Moss_Polytrichum","Moss"
"popbal","Populus balsamifera","Tree_Decid","Tree_Decid"
"quartz","Quartz","Rock","Abiotic"
"querub","Quercus Rubra","Tree_Decid","Tree_Decid"
"raclan","Racomitrium lanoiginosum","Moss_Racomitrium","Moss"
"rhigeo","Rhizocarpon geographicum","Lichen_Crustose_Dark","Lichen"
"rhyrug","Rhytidum rugosum","Moss_Rhytidium","Moss"
"rhutyp","Rhus typhina","Shrub_Rosa","Shrub_Decid"
"rosaci","Rosa acicularis","Shrub_Rosa","Shrub_Decid"
"rosasc","Rosa acicularis","Shrub_Rosa","Shrub_Decid"
"rubcam","Rubus sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"rubcha","Rubus sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"salala","Salix alaxensis","Shrub_Salix","Shrub_Decid"
"salarb","Salix arbusculoides","Shrub_Salix","Shrub_Decid"
"salgla","Salix glauca","Shrub_Salix","Shrub_Decid"
"sallan","Salix lanata","Shrub_Salix","Shrub_Decid"
"salova","Salix ovalifolia","Shrub_Salix","Shrub_Decid"
"Salova","Salix ovalifolia","Shrub_Salix","Shrub_Decid"
"salpul","Salix pulchra","Shrub_Salix","Shrub_Decid"
"salric","Salix richardsonii","Shrub_Salix","Shrub_Decid"
"sphagn","Sphagnum sp.","Moss_Sphagnum_other","Moss"
"sphfus","Sphagnum fuscum","Moss_Sphagnum_fuscum","Moss"
"spruce bark","Pices (bark)","Wood_Coarse","Abiotic"
"stepas","Stereocaulon sp.","Lichen_Fruticose_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Fruticose_Light","Lichen"
"thuocc","Thuja occidentalis","Tree_Evergreen","Tree_Evergreen"
"toefeldia","Toefeldia sp.","Forb","Forb"
"tomnit","Tomenthypnum nitens","Moss_Tomenthypnum","Moss"
"tragra","Trapelopsis granulosa","Lichen_Crustose_Light","Lichen"
"tsucan","Tsuga canadensis","Tree_Evergreen","Tree_Evergreen"
"umbarc","Umbilicaria arctica","Lichen_Foliose_Dark","Lichen"
"umbhyp","Umbilicaria hyperborea","Lichen_Foliose_Dark","Lichen"
"usnlap","Usnea lapponica","Lichen_Epiphyte_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Epiphyte_Yellow","Lichen"
"vacvit","Vaccinium vitis-idea","Shrub_Evergreen","Shrub_Evergreen"
"vaculi","Vaccinium uliginosum","Dwarf_Shrub_Decid","Shrub_Decid"
"vulpin","Vulpicida pinastri","Lichen_Epiphyte_Yellow","Lichen"
"wooly_salix","Salix (wooly)","Shrub_Salix","Shrub_Decid"
"SAPU15","Salix pulchra","Shrub_Salix","Shrub_Decid"
"PEFR5","Pestasites frigidus","Forb","Forb"
"SAPU6","Saxifraga punctata","Forb","Forb"
"ARFU2","Arctophila fulva","Graminoid_Grass","Graminoid"
"DUFI","Dupontia fisheri","Graminoid_Grass","Graminoid"
"CAAQ","Carex aquatilis","Graminoid_Sedge","Graminoid"
"ARLA2","Arctagrostis latifolia","Graminoid_Grass","Graminoid"
"ERAN6","Eriophorum angustifolium","Graminoid_Sedge","Graminoid"
"VAVI","Vaccinium vitis-idea","Shrub_Evergreen","Shrub_Evergreen"
"ALVI5","Alnus sp.","Shrub_Alder","Shrub_Decid"
"ARALA7","Arctostaphyllos","Dwarf_Shrub_Decid","Shrub_Decid"
"BEGL","Betula nana","Shrub_Betula","Shrub_Decid"
"BENA","Betula nana","Shrub_Betula","Shrub_Decid"
"BEPU4","Betula nana","Shrub_Betula","Shrub_Decid"
"DAFRF","Unknown","Unknown","Unknown"
"DOFR","Arenaria pseudofrigida","Forb","Forb"
"DROCA2","Dryas sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"EMNI","Empetrum nigrum","Shrub_Evergreen","Shrub_Evergreen"
"EQAR","Equisetum arvense","Forb","Forb"
"ERVA4","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"HIERA","Hieracium sp.","Forb","Forb"
"KAPR","Loisleuria procumbens","Shrub_Evergreen","Shrub_Evergreen"
"LEDUM","Ledum decumbens","Shrub_Evergreen","Shrub_Evergreen"
"RUCH","Rubus sp.","Dwarf_Shrub_Decid","Shrub_Decid"
"SAG","Unknown","Unknown","Unknown"
"SAPH","Salix phlebophylla","Dwarf_Shrub_Decid","Shrub_Decid"
"SARI4","Salix richardsonii","Shrub_Salix","Shrub_Decid"
"VAUL","Vaccinium uliginosum","Dwarf_Shrub_Decid","Shrub_Decid"
