"","Functional_group1","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance"
"1","Abiotic",1000,27.8622,72.8969,12.2512,65.169625,15.6735875,68.7273,13.7782
"2","Abiotic",1001,27.8755,72.8989,12.2633,65.173075,15.6901875,68.7214,13.7971
"3","Abiotic",1002,27.8887,72.901,12.2754,65.1764625,15.70675,68.7155,13.816
"4","Abiotic",1003,27.9019,72.903,12.2876,65.1798125,15.7233125,68.7095,13.8348
"5","Abiotic",1004,27.9152,72.9051,12.2997,65.1832625,15.73985,68.7036,13.8537
"6","Abiotic",1005,27.9284,72.9071,12.3118,65.18665,15.7564125,68.6977,13.8726
"7","Abiotic",1006,27.9416,72.9091,12.3239,65.1901,15.7730125,68.6918,13.8914
"8","Abiotic",1007,27.9549,72.9112,12.336,65.1934875,15.789575,68.6859,13.9103
"9","Abiotic",1008,27.9686,72.914,12.3484,65.1974375,15.8061625,68.6807,13.9295
"10","Abiotic",1009,27.9822,72.9168,12.3608,65.2013625,15.8228125,68.6754,13.9488
"11","Abiotic",1010,27.9953,72.9185,12.3728,65.2045125,15.83935,68.6692,13.9675
"12","Abiotic",1011,28.01195,72.9178,12.3838,65.206025,15.8557,68.6608,13.985
"13","Abiotic",1012,28.0494,72.9134,12.3932,65.20505,15.8713375,68.6491,14.0006
"14","Abiotic",1013,28.08675,72.9078,12.4022,65.2032375,15.8869625,68.6364,14.0158
"15","Abiotic",1014,28.12485,72.9048,12.4122,65.2004375,15.903475,68.6254,14.0322
"16","Abiotic",1015,28.1646,72.9075,12.425,65.2005625,15.9218625,68.6183,14.0518
"17","Abiotic",1016,28.20655,72.9161,12.4405,65.203375,15.94295,68.6146,14.0749
"18","Abiotic",1017,28.24905,72.9272,12.4571,65.2077625,15.96455,68.6128,14.0991
"19","Abiotic",1018,28.29,72.9368,12.4727,65.2123375,15.9842,68.6115,14.1223
"20","Abiotic",1019,28.32795,72.9418,12.4858,65.21605,15.999625,68.6099,14.1422
"21","Abiotic",1020,28.36345,72.9435,12.4971,65.2193625,16.0114875,68.6084,14.1595
"22","Abiotic",1021,28.39765,72.944,12.5075,65.223,16.021625,68.6074,14.1759
"23","Abiotic",1022,28.43155,72.9454,12.518,65.227375,16.0319125,68.6069,14.1932
"24","Abiotic",1023,28.4663,72.9491,12.5292,65.2330875,16.0433875,68.6074,14.2128
"25","Abiotic",1024,28.5016,72.9543,12.5405,65.239875,16.05645,68.609,14.234
"26","Abiotic",1025,28.5361,72.96,12.5518,65.2473125,16.0749875,68.6107,14.2556
"27","Abiotic",1026,28.5685,72.9653,12.563,65.25485,16.093025,68.6109,14.2761
"28","Abiotic",1027,28.5972,72.9692,12.5736,65.2614375,16.1099875,68.6082,14.2945
"29","Abiotic",1028,28.62275,72.9719,12.5837,65.2669875,16.1261,68.6029,14.3112
"30","Abiotic",1029,28.64735,72.9753,12.5941,65.273925,16.142225,68.5977,14.3279
"31","Abiotic",1030,28.67325,72.9809,12.6061,65.284775,16.15945,68.5952,14.346
"32","Abiotic",1031,28.7006,72.99,12.6203,65.301975,16.17795,68.5968,14.3661
"33","Abiotic",1032,28.7284,73.0015,12.636,65.324175,16.19725,68.601,14.38132
"34","Abiotic",1033,28.7576,73.0141,12.6526,65.3473625,16.2175375,68.6068,14.39671
"35","Abiotic",1034,28.78955,73.0262,12.6689,65.3675625,16.2389625,68.613,14.413275
"36","Abiotic",1035,28.82625,73.0383,12.685,65.3835375,16.2629375,68.6203,14.432175
"37","Abiotic",1036,28.86645,73.0509,12.7014,65.397525,16.2887875,68.629,14.452955
"38","Abiotic",1037,28.90625,73.0622,12.7176,65.4103,16.31385,68.6371,14.47345
"39","Abiotic",1038,28.94185,73.0706,12.7329,65.4225875,16.335225,68.6427,14.491325
"40","Abiotic",1039,28.97175,73.0745,12.7465,65.4339875,16.35155,68.6452,14.50543
"41","Abiotic",1040,28.9985,73.0757,12.7592,65.4444875,16.3648875,68.6457,14.51741
"42","Abiotic",1041,29.02475,73.0765,12.7726,65.4548875,16.3776375,68.6454,14.529295
"43","Abiotic",1042,29.05295,73.0793,12.7885,65.4660625,16.39235,68.6454,14.54308
"44","Abiotic",1043,29.08315,73.0844,12.8082,65.478525,16.408975,68.6455,14.55907
"45","Abiotic",1044,29.1142,73.0905,12.8296,65.4914,16.4264375,68.6454,14.57608
"46","Abiotic",1045,29.14555,73.0963,12.8504,65.5038,16.444025,68.6449,14.59303
"47","Abiotic",1046,29.1769,73.1005,12.8681,65.5149,16.461225,68.6441,14.609035
"48","Abiotic",1047,29.2082,73.1032,12.8827,65.5243125,16.47805,68.6425,14.62397
"49","Abiotic",1048,29.23965,73.1051,12.8957,65.5330125,16.4948125,68.6407,14.638505
"50","Abiotic",1049,29.27135,73.107,12.908,65.541825,16.5117875,68.6393,14.653065
"51","Abiotic",1050,29.3032,73.1097,12.9204,65.5517875,16.5293375,68.639,14.668215
