"","Functional_group1","Functional_group2","n"
"1","Abiotic","Litter",13
"2","Abiotic","Mineral",45
"3","Forb","FernAlly",11
"4","Forb","ForbFlower",135
"5","Graminoid","GraminoidGrass",25
"6","Graminoid","GraminoidSedge",87
"7","Lichen","DarkTerrestrialMacrolichen",127
"8","Lichen","LightTerrestrialCrustose",28
"9","Lichen","LightTerrestrialMacrolichen",89
"10","Lichen","YellowTerrestrialCrustose",18
"11","Lichen","YellowTerrestrialMacrolichen",104
"12","Moss","MossAcrocarp",55
"13","Moss","MossPleurocarp",27
"14","Moss","MossSphagnum",8
"15","ShrubDecid","ShrubAlder",57
"16","ShrubDecid","ShrubBetula",62
"17","ShrubDecid","ShrubDecidOther",49
"18","ShrubDecid","ShrubSalix",119
"19","ShrubEvergreen","ShrubEvergreenBroadleaf",87
"20","ShrubEvergreen","ShrubEvergreenNeedle",15
"21","TreeBroadleaf","TreeBetula",13
"22","TreeBroadleaf","TreePopulus",8
"23","TreeConifer","TreeSpruce",17
