"","Dwarf_Shrub_Decid","Forb","Graminoid_Grass","Graminoid_Sedge","Lichen_Crustose_Dark","Lichen_Crustose_Light","Lichen_Foliose_Dark","Lichen_Foliose_Dark_Peltigera","Lichen_Foliose_Light","Lichen_Foliose_Yellow","Lichen_Fruticose_Dark","Lichen_Fruticose_Light","Lichen_Fruticose_Yellow","Litter","Moss_Aulacomnium","Moss_Ceratadon","Moss_Dicranum","Moss_Hylocomnium","Moss_Plagiomnium","Moss_Pleurozium","Moss_Polytrichum","Moss_Racomitrium","Moss_Rhytidium","Moss_Sphagnum_fuscum","Moss_Sphagnum_other","Moss_Tomenthypnum","Rock","Shrub_Alder","Shrub_Betula","Shrub_Evergreen","Shrub_Rosa","Shrub_Salix","Soil","Tree_Decid","Tree_Evergreen","Wood_Coarse","class.error"
"Dwarf_Shrub_Decid",162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0.0847457627118644
"Forb",4,53,0,2,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0.263888888888889
"Graminoid_Grass",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0833333333333334
"Graminoid_Sedge",1,1,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.290322580645161
"Lichen_Crustose_Dark",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0333333333333333
"Lichen_Crustose_Light",0,0,0,0,0,21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16
"Lichen_Foliose_Dark",0,0,0,0,0,0,40,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111111111111111
"Lichen_Foliose_Dark_Peltigera",3,1,0,0,0,0,0,17,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346153846153846
"Lichen_Foliose_Light",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lichen_Foliose_Yellow",1,0,0,0,0,0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105
"Lichen_Fruticose_Dark",0,0,0,0,0,0,2,1,0,0,17,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037037037
"Lichen_Fruticose_Light",0,1,0,0,0,0,1,0,0,0,2,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154
"Lichen_Fruticose_Yellow",0,0,0,0,1,0,0,0,0,4,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972222222222222
"Litter",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Moss_Aulacomnium",0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6
"Moss_Ceratadon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Moss_Dicranum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4
"Moss_Hylocomnium",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4
"Moss_Plagiomnium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.75
"Moss_Pleurozium",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"Moss_Polytrichum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647058823529
"Moss_Racomitrium",0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"Moss_Rhytidium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"Moss_Sphagnum_fuscum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
