"","Dwarf_Shrub_Decid","Forb","Graminoid_Grass","Graminoid_Sedge","Lichen_Crustose_Dark","Lichen_Crustose_Light","Lichen_Foliose_Dark","Lichen_Foliose_Dark_Peltigera","Lichen_Foliose_Light","Lichen_Foliose_Yellow","Lichen_Fruticose_Dark","Lichen_Fruticose_Light","Lichen_Fruticose_Yellow","Litter","Moss_Aulacomnium","Moss_Ceratadon","Moss_Dicranum","Moss_Hylocomnium","Moss_Plagiomnium","Moss_Pleurozium","Moss_Polytrichum","Moss_Racomitrium","Moss_Rhytidium","Moss_Sphagnum_fuscum","Moss_Sphagnum_other","Moss_Tomenthypnum","Rock","Shrub_Alder","Shrub_Betula","Shrub_Evergreen","Shrub_Rosa","Shrub_Salix","Soil","Tree_Decid","Tree_Evergreen","Wood_Coarse"
"Dwarf_Shrub_Decid",162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,7,0,0,0,0
"Forb",5,51,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,2,0,0
"Graminoid_Grass",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Graminoid_Sedge",0,1,3,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Lichen_Crustose_Dark",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lichen_Crustose_Light",0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen_Foliose_Dark",0,0,0,0,0,0,40,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lichen_Foliose_Dark_Peltigera",3,1,0,0,0,0,0,18,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen_Foliose_Light",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen_Foliose_Yellow",1,0,0,0,0,0,0,0,0,31,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen_Fruticose_Dark",0,0,0,0,0,0,2,1,0,0,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen_Fruticose_Light",0,2,0,0,0,0,2,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
