"x" "y" "z"
"1" "-148.064795144273" "65.1893729793221" "aleoch"
"2" "-148.064794012818" "65.1893729793221" "alnfru"
"3" "-148.064792881364" "65.1893729793221" "arccen"
"4" "-148.064791749909" "65.1893729793221" "arcnig"
"5" "-148.064790618455" "65.1893729793221" "arcrub"
"6" "-148.064789487" "65.1893729793221" "arcsta"
"7" "-148.064788355545" "65.1893729793221" "ARFU2"
"8" "-148.064787224091" "65.1893729793221" "ARLA2"
"9" "-148.064786092636" "65.1893729793221" "asachr"
"10" "-148.064784961182" "65.1893729793221" "aulpal"
"11" "-148.064783829727" "65.1893729793221" "aultur"
"12" "-148.064782698273" "65.1893729793221" "bare rock"
"13" "-148.064781566818" "65.1893729793221" "bare_soil"
"14" "-148.064780435364" "65.1893729793221" "betnan"
"15" "-148.064779303909" "65.1893729793221" "betneo"
"16" "-148.064778172455" "65.1893729793221" "CAAQ"
"17" "-148.064777041" "65.1893729793221" "calcan"
"18" "-148.064775909545" "65.1893729793221" "carlin"
"19" "-148.064774778091" "65.1893729793221" "carlyn"
"20" "-148.064773646636" "65.1893729793221" "carram"
"21" "-148.064772515182" "65.1893729793221" "castet"
"22" "-148.064771383727" "65.1893729793221" "cerpur"
"23" "-148.064770252273" "65.1893729793221" "cetisl"
"24" "-148.064769120818" "65.1893729793221" "cetlae"
"25" "-148.064767989364" "65.1893729793221" "claama"
"26" "-148.064766857909" "65.1893729793221" "clacor"
"27" "-148.064765726455" "65.1893729793221" "clagra"
"28" "-148.064764595" "65.1893729793221" "clamit"
"29" "-148.064763463545" "65.1893729793221" "claran"
"30" "-148.064762332091" "65.1893729793221" "claste"
"31" "-148.064761200636" "65.1893729793221" "clasty"
"32" "-148.064760069182" "65.1893729793221" "clasul"
"33" "-148.064758937727" "65.1893729793221" "claunc"
"34" "-148.064795144273" "65.1893725039663" "dacarc"
"35" "-148.064794012818" "65.1893725039663" "dead salix"
"36" "-148.064792881364" "65.1893725039663" "dicranum"
"37" "-148.064791749909" "65.1893725039663" "dryala"
"38" "-148.064790618455" "65.1893725039663" "dryhyb"
"39" "-148.064789487" "65.1893725039663" "dryoct"
"40" "-148.064788355545" "65.1893725039663" "DUFI"
"41" "-148.064787224091" "65.1893725039663" "empnig"
"42" "-148.064786092636" "65.1893725039663" "equarv"
"43" "-148.064784961182" "65.1893725039663" "equsyl"
"44" "-148.064783829727" "65.1893725039663" "ERAN6"
"45" "-148.064782698273" "65.1893725039663" "erivag"
"46" "-148.064781566818" "65.1893725039663" "flaniv"
"47" "-148.064780435364" "65.1893725039663" "gravel"
"48" "-148.064779303909" "65.1893725039663" "grey_rhizocarpon"
"49" "-148.064778172455" "65.1893725039663" "herlan"
"50" "-148.064777041" "65.1893725039663" "hylspl"
"51" "-148.064775909545" "65.1893725039663" "hypspl"
"52" "-148.064774778091" "65.1893725039663" "icmeri"
"53" "-148.064773646636" "65.1893725039663" "irisit"
"54" "-148.064772515182" "65.1893725039663" "leddec"
"55" "-148.064771383727" "65.1893725039663" "loipro"
"56" "-148.064770252273" "65.1893725039663" "luparc"
"57" "-148.064769120818" "65.1893725039663" "masric"
"58" "-148.064767989364" "65.1893725039663" "melanelia"
"59" "-148.064766857909" "65.1893725039663" "melhep"
"60" "-148.064765726455" "65.1893725039663" "naparc"
"61" "-148.064764595" "65.1893725039663" "neparc"
"62" "-148.064763463545" "65.1893725039663" "orange_Porpidia"
"63" "-148.064762332091" "65.1893725039663" "paramb"
"64" "-148.064761200636" "65.1893725039663" "paromp"
"65" "-148.064760069182" "65.1893725039663" "pedrac"
"66" "-148.064758937727" "65.1893725039663" "pedsud"
