row,PFT,group,color,veg_lifeform_code,title
1,aca,2,multiple,lich_cr,Acarospora sp.
2,acasch,0,yellow,lich_fo,Acarospora schleicheri
3,accand,0,brown,lich_fr,Cetraria andrejevii
5,ago,2,multiple,lich_sq,Agonimia sp.
6,agotri,0,greengray,lich_sq,Agonimia tristicula
7,ale,2,multiple,lich_fr,Alectoria sp.
8,alenig,0,brown,lich_fr,Alectoria nigricans
9,aleoch,0,yellow,lich_fr,Alectoria ochroleuca
10,all,2,black,lich_fo,Allantoparmelia sp.
11,allalm,0,black,lich_fo,Allantoparmelia almquistii
12,allalp,0,black,lich_fo,Allantoparmelia alpicola
13,amapun,0,gray,lich_cr,Buellia punctata
14,amyele,0,white,lich_cr,Amygdalaria elegantior
15,anabry,0,brown,lich_fo,Anaptychia bryorum
16,arc,2,yellow,lich_fo,Arctoparmelia sp.
17,arccen,0,yellow,lich_fo,Arctoparmelia centrifuga
18,arcinc,0,yellow,lich_fo,Arctoparmelia incurva
19,arcsep,0,yellow,lich_fo,Arctoparmelia separata
20,arcsub,0,yellow,lich_fo,Arctoparmelia subcentrifuga
21,asa,2,multiple,lich_fo,Asahinea sp.
22,asachr,0,yellow,lich_fo,Asahinea chrysantha
23,asasch,0,gray,lich_fo,Asahinea scholanderi
24,bacbag,0,gray,lich_cr,Bacidia bagliettoana
25,bae,2,gray,lich_m,Baeomyces sp.
26,baecar,0,gray,lich_sq,Baeomyces carneus
27,baepla,0,gray,lich_sq,Baeomyces placophyllus
28,baeruf,0,gray,lich_cr,Baeomyces rufus
29,biasub,0,gray,lich_cr,Biatora subduplex
30,blaamm,0,orange,lich_cr,Caloplaca ammiospila
31,blecri,0,black,lich_fo,Blennothallia crispa
32,brc,2,brown,lich_fr,Bryocaulon sp.
33,brcdiv,0,brown,lich_fr,Bryocaulon divergens
34,brn,2,brown,lich_fr,Bryonora sp.
35,brncas,0,brown,lich_fr,Bryonora castanea
36,bro,2,gray,lich_fr,Brodoa sp.
37,brooro,0,gray,lich_fr,Brodoa oroarctica
38,brpjun,0,orange,lich_cr,Caloplaca jungermanniae
39,brptet,0,orange,lich_cr,Caloplaca tetraspora
40,bry,2,brown,lich_fr,Bryoria sp.
41,brycap,0,brown,lich_fr,Bryoria capillaris
42,brycha,0,brown,lich_fr,Bryoria chalybeiformis
43,bryfre,0,brown,lich_fr,Bryoria fremontii
44,bryfus,0,brown,lich_fr,Bryoria fuscescens
45,bryimp,0,brown,lich_fr,Bryoria implexa
46,brylan,0,brown,lich_fr,Bryoria lanestris
47,brynad,0,brown,lich_fr,Bryoria nadvornikiana
48,brynit,0,brown,lich_fr,Bryoria nitidula
49,brysim,0,brown,lich_fr,Bryoria simplicior
50,bryten,0,brown,lich_fr,Bryoria tenuis
51,brytra,0,brown,lich_fr,Bryoria trichodes ssp. americana
52,brytri,0,brown,lich_fr,Bryoria trichodes
53,bue,2,multiple,lich_cr,Buellia sp.
54,caa,2,yellow,lich_cr,Candelaria sp.
55,caivir,0,green,lich_m,Calicium viride
56,cal,2,orange,lich_cr,Caloplaca sp.
57,calcer,0,orange,lich_cr,Caloplaca cernia
58,calfra,0,orange,lich_cr,Caloplaca fraudans
59,calhol,0,orange,lich_cr,Caloplaca holocarpa
60,cancan,0,orange,lich_cr,Candelariella canadensis
61,cancit,0,yellow,lich_cr,Candelariella citrina
62,celala,0,white,lich_fo,Cetrelia alaskana
63,cet,2,multiple,lich_fr,Cetraria sp.
64,cetcom,0,brown,lich_fo,Cetraria commixta
65,cetcuc,0,yellow,lich_fr,Flavocetraria cucullata
66,cetdark,1,brown,lich_fo,Cetrariella sp.
67,cetdel,0,brown,lich_fr,Cetrariella delisei
68,ceteri,0,brown,lich_fr,Cetraria ericetorum
69,ceterr,0,brown,lich_fr,Cetraria ericetorum ssp. reticulata
70,cetfas,0,brown,lich_fr,Cetrariella fastigiata
71,cethep,0,brown,lich_fo,Cetraria hepatizon
72,cetine,0,brown,lich_fo,Tuckermannopsis inermis
73,cetisc,0,brown,lich_fr,Cetraria islandica ssp. crispiformis
74,cetisl,0,brown,lich_fr,Cetraria islandica
75,cetkam,0,brown,lich_fr,Cetraria kamczatica
76,cetlae,0,brown,lich_fr,Cetraria laevigata
77,cetlaeisleri,1,brown,lich_fr,Cetraria laevigata/islandica/ericetorum
78,cetnig,0,brown,lich_fr,Cetraria nigricans
79,cetniv,0,yellow,lich_fr,Flavocetraria nivalis
80,cetode,0,brown,lich_fr,Cetraria odontella
