"PFT","PFT_2","PFT_3"
"bryoria","Bryoria sp.","Lichen_Dark"
"claama","Cladonia amaurocraea","Lichen_Yellow"
"claran","Cladonia rangiferina","Lichen_Light"
"evemes","Evernia mesomorpha","Lichen_Yellow"
"hypaus","Hypogymnia austerodes","Lichen_Dark"
"parsul","Parmelis sulcata","Lichen_Light"
"pelleu","Peltigers leucophlebia","Lichen_Dark"
"pelmal","Peltigera malacea","Lichen_Dark"
"claste","Cladonia steallaris","Lichen_Yellow"
"clasty","Cladonia stygia","Lichen_Light"
"icmeri","Icmadophila ericetorum","Lichen_Light"
"arccen","Arctocetraria centrifuga","Lichen_Yellow"
"asachr","Asahinea chrysantha","Lichen_Yellow"
"clamit","Cladonia mitis","Lichen_Yellow"
"claunc","Cladonia uncialis","Lichen_Yellow"
"flacuc","Flavocetraria cucculata","Lichen_Yellow"
"flaniv","Flavocetraria nivalis","Lichen_Yellow"
"neparc","Nephroma arcticum","Lichen_Yellow"
"paromp","Parmelia omphalodes","Lichen_Light"
"pelapt","Peltigera apthosa","Lichen_Dark"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark"
"stepas","Stereocaulon sp.","Lichen_Light"
"stetas","Stereocaulon sp.","Lichen_Light"
"umbarc","Umbilicaria arctica","Lichen_Dark"
"cetisl","Cetraria islandica","Lichen_Dark"
"clacor","Cladonia cornuta","Lichen_Dark"
"clasul","Cladonia sulphurina","Lichen_Yellow"
"melanelia","Melanelia sp.","Lichen_Dark"
"naparc","Nephroma arcticum","Lichen_Yellow"
"paramb","Parmeliopsis ambigua","Lichen_Yellow"
"pelsca","Peltigera scabrata","Lichen_Dark"
"tragra","Trapelopsis granulosa","Lichen_Light"
"usnlap","Usnea lapponica","Lichen_Yellow"
"usnsca","Usnea scabrata","Lichen_Yellow"
"vulpin","Vulpicida pinastri","Lichen_Yellow"
"aleoch","Alectoria ochroleuca","Lichen_Yellow"
"arctop","Unknown","Lichen_Yellow"
"cetlae","Cetraria laevigata","Lichen_Dark"
"clagra","Cladonia gracilis","Lichen_Dark"
"masric","Masonhalea richardsonii","Lichen_Dark"
"melhep","Melanelia sp.","Lichen_Dark"
"orange_Porpidia","Porpidia sp.","Lichen_Dark"
"grey_rhizocarpon","Rhizocarpon sp.","Lichen_Dark"
"umbhyp","Umbilicaria hyperborea","Lichen_Dark"
"clacuc","Flavocetraria cucculata","Lichen_Dark"
"dacarc","Dactylina arctica","Lichen_Yellow"
"pilaci","Pilophorus acicularis","Lichen_Light"
