"PFT","PFT_2","PFT_3","PFT_4"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"claama","Cladonia amaurocraea","Lichen_Yellow","Lichen"
"claama","Cladonia amaurocraea","Lichen_Yellow","Lichen"
"claama","Cladonia amaurocraea","Lichen_Yellow","Lichen"
"claama","Cladonia amaurocraea","Lichen_Yellow","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"equsyl","Equisetum sylvaticum","Forb","Forb"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen"
"pelmal","Peltigera malacea","Lichen_Dark","Lichen"
"pelmal","Peltigera malacea","Lichen_Dark","Lichen"
"pelmal","Peltigera malacea","Lichen_Dark","Lichen"
"pelmal","Peltigera malacea","Lichen_Dark","Lichen"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"picmar","Picea mariana","Tree_Needle","Tree"
"plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss"
"plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss"
"plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss"
"plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss"
"plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss"
"plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss"
"plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss"
"plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"dead salix","Dead Salix","Abiotic_Litter","Abiotic"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
