"","rf_05nm","rf_010nm","rf_050nm","rf_100nm","rf_VIs","rf_bands","rf_bandsVIs","rf_VIs10","rf_VIs25","rf_VIs50","rf_HDW10","rf_HDW25","rf_HDW50"
"Abiotic_Litter",0.461538461538462,0.538461538461538,0.615384615384615,0.769230769230769,0.615384615384615,0.538461538461538,0.615384615384615,0.615384615384615,0.615384615384615,0.538461538461538,0.692307692307692,0.538461538461538,0.538461538461538
"Abiotic_Rock",0.421052631578947,0.473684210526316,0.421052631578947,0.526315789473684,0.157894736842105,0.473684210526316,0.263157894736842,0.263157894736842,0.210526315789474,0.210526315789474,0.263157894736842,0.315789473684211,0.315789473684211
"Abiotic_Soil",0.5,0.625,0.625,0.625,0.75,0.5,0.75,0.625,0.625,0.625,0.75,0.75,0.75
"Dwarf_Shrub_Broad",0.356435643564356,0.346534653465347,0.346534653465347,0.386138613861386,0.227722772277228,0.366336633663366,0.267326732673267,0.287128712871287,0.207920792079208,0.207920792079208,0.297029702970297,0.237623762376238,0.217821782178218
"Dwarf_Shrub_Needle",0.714285714285714,0.714285714285714,0.80952380952381,0.666666666666667,0.619047619047619,0.714285714285714,0.523809523809524,0.380952380952381,0.523809523809524,0.714285714285714,0.428571428571429,0.428571428571429,0.428571428571429
"Forb",0.52,0.52,0.54,0.62,0.42,0.5,0.4,0.6,0.38,0.38,0.6,0.56,0.44
"Graminoid_Grass",0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0
"Graminoid_Sedge",0.333333333333333,0.333333333333333,0.333333333333333,0.285714285714286,0.238095238095238,0.333333333333333,0.19047619047619,0.380952380952381,0.238095238095238,0.19047619047619,0.380952380952381,0.380952380952381,0.19047619047619
"Lichen_Dark",0.24812030075188,0.240601503759398,0.225563909774436,0.278195488721805,0.12781954887218,0.240601503759398,0.12781954887218,0.142857142857143,0.0977443609022557,0.0827067669172933,0.157894736842105,0.150375939849624,0.12781954887218
"Lichen_Light",0.261538461538461,0.261538461538461,0.246153846153846,0.230769230769231,0.215384615384615,0.230769230769231,0.215384615384615,0.153846153846154,0.169230769230769,0.215384615384615,0.2,0.153846153846154,0.169230769230769
"Lichen_Yellow",0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0326797385620915,0.0392156862745098,0.0196078431372549,0.0326797385620915,0.0392156862745098,0.0261437908496732,0.0261437908496732,0.0457516339869281,0.0326797385620915,0.0326797385620915
"Moss_Acrocarp",1,1,0.833333333333333,0.833333333333333,1,1,1,1,0.833333333333333,1,1,1,0.833333333333333
"Moss_Pleurocarp",0.714285714285714,0.714285714285714,0.642857142857143,0.785714285714286,0.357142857142857,0.642857142857143,0.357142857142857,0.357142857142857,0.357142857142857,0.285714285714286,0.428571428571429,0.428571428571429,0.357142857142857
"Moss_Sphagnum",0.5,0.5,0.5,0.75,0.25,0.5,0.25,0.416666666666667,0.333333333333333,0.25,0.5,0.25,0.333333333333333
"Shrub_Alder",0.386363636363636,0.363636363636364,0.386363636363636,0.363636363636364,0.409090909090909,0.386363636363636,0.363636363636364,0.431818181818182,0.431818181818182,0.454545454545455,0.363636363636364,0.318181818181818,0.409090909090909
"Shrub_Other",0.622950819672131,0.639344262295082,0.590163934426229,0.622950819672131,0.360655737704918,0.622950819672131,0.426229508196721,0.377049180327869,0.377049180327869,0.360655737704918,0.508196721311475,0.508196721311475,0.39344262295082
"Shrub_Salix",0.54,0.56,0.56,0.54,0.38,0.54,0.4,0.58,0.4,0.36,0.6,0.52,0.42
"Tree_Broad",0.375,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.5,0.5,0.5,0.625
"Tree_Needle",0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.117647058823529,0.470588235294118,0.235294117647059,0.294117647058823,0.117647058823529,0.117647058823529,0.235294117647059,0.235294117647059,0.235294117647059
