"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic",8,58,"AK2018",2.4749163659409,0.591936608830341,-4.89950700854223,-3.38730216035277,0.865763112664407,3.81410484629909,-0.220731393970029
"110","quartz","Quartz","Abiotic",25,58,"Murphy",43.7481299144396,-19.3392086730523,-1.72341111867519,-0.710976895966713,-1.08626589347753,0.701961213508571,1.07179175242451
"108","quartz","Quartz","Abiotic",25,58,"Murphy",-11.9252517278263,-18.4726448819602,1.11343448315702,1.01279776208687,0.169028913956807,-0.0569143107213035,0.0159744005228402
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic",8,58,"AK2018",-1.31754796299213,-1.80420876931575,-3.34933998365705,-1.48712896967577,0.721810751625818,1.95578637963903,-0.215075337206661
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic",8,58,"AK2018",2.4749163659409,0.591936608830341,-4.89950700854223,-3.38730216035277,0.865763112664407,3.81410484629909,-0.220731393970029
"43","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",-16.8915607267892,-15.9249506861622,-0.359743090642583,1.01073306496514,0.149395153830239,0.100190742716785,0.172543507568115
"117","quartz","Quartz","Abiotic",25,58,"Murphy",35.235564774185,-23.929200318324,5.71228893524206,-0.838992779378994,0.627780041982483,-0.208264666799501,-0.409735685537709
"salsic_AK2018_06","dead salix","Dead Salix","Abiotic",8,58,"AK2018",2.4749163659409,0.591936608830341,-4.89950700854223,-3.38730216035277,0.865763112664407,3.81410484629909,-0.220731393970029
"101","quartz","Quartz","Abiotic",25,58,"Murphy",-2.04844455301572,-14.9009940615203,-2.48954018176261,0.218453876119687,0.172126219506011,1.28463323950942,0.896224626049354
"42","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",-15.0005425759153,-15.3689202332218,-1.12069133157508,0.624057070558217,0.0616944254565158,0.448036260282099,0.328077899244596
