"","PFT_3","PFT_2","n"
"1","Abiotic_Litter","Dead Salix",8
"2","Abiotic_Litter","Pices (bark)",5
"3","Abiotic_Rock","Bare Rock",7
"4","Abiotic_Rock","Gravel",5
"5","Abiotic_Rock","Quartz",25
"6","Abiotic_Soil","Bare Soil",8
"7","Dwarf_Shrub_Broad","Arctostaphyllos",19
"8","Dwarf_Shrub_Broad","Dryas alleghenies",272
"9","Dwarf_Shrub_Broad","Dryas octopetala",612
"10","Dwarf_Shrub_Broad","Dryas sp.",43
"11","Dwarf_Shrub_Broad","Loisleuria procumbens",3
"12","Dwarf_Shrub_Broad","Rubus sp.",12
"13","Dwarf_Shrub_Broad","Vaccinium uliginosum",10
"14","Dwarf_Shrub_Needle","Cassiope tetragona",9
"15","Dwarf_Shrub_Needle","Empetrum nigrum",12
"16","Forb","Equisetum arvense",4
"17","Forb","Equisetum sylvaticum",4
"18","Forb","Heracleum lanatum",8
"19","Forb","Iris sp.",4
"20","Forb","Lupinus sp.",12
"21","Forb","Pedicularis racemosa",11
"22","Forb","Pedicularis sudetica",4
"23","Forb","Petasites frigida",8
"24","Forb","Rosa acicularis",20
"25","Forb","Toefeldia sp.",5
"26","Graminoid_Grass","Calamogrostis sp.",4
"27","Graminoid_Sedge","Carex sp.",16
"28","Graminoid_Sedge","Eriophorum vaginatum",5
"29","Lichen_Dark","Bryoria sp.",10
"30","Lichen_Dark","Cetraria islandica",14
"31","Lichen_Dark","Cetraria laevigata",3
"32","Lichen_Dark","Cladonia cornuta",3
"33","Lichen_Dark","Cladonia gracilis",18
"34","Lichen_Dark","Flavocetraria cucculata",5
"35","Lichen_Dark","Hypogymnia austerodes",13
"36","Lichen_Dark","Masonhalea richardsonii",14
"37","Lichen_Dark","Melanelia sp.",13
"38","Lichen_Dark","Peltigera apthosa",14
"39","Lichen_Dark","Peltigera malacea",4
"40","Lichen_Dark","Peltigera scabrata",7
"41","Lichen_Dark","Peltigers leucophlebia",4
"42","Lichen_Dark","Porpidia sp.",11
"43","Lichen_Dark","Rhizocarpon geographicum",18
"44","Lichen_Dark","Rhizocarpon sp.",3
"45","Lichen_Dark","Umbilicaria arctica",4
"46","Lichen_Dark","Umbilicaria hyperborea",15
"47","Lichen_Light","Cladonia rangiferina",20
"48","Lichen_Light","Cladonia stygia",18
"49","Lichen_Light","Icmadophila ericetorum",8
"50","Lichen_Light","Parmelia omphalodes",4
"51","Lichen_Light","Parmelis sulcata",12
"52","Lichen_Light","Pilophorus acicularis",15
"53","Lichen_Light","Stereocaulon sp.",8
"54","Lichen_Light","Trapelopsis granulosa",5
"55","Lichen_Yellow","Alectoria ochroleuca",6
"56","Lichen_Yellow","Arctocetraria centrifuga",4
"57","Lichen_Yellow","Asahinea chrysantha",19
"58","Lichen_Yellow","Cladonia amaurocraea",6
"59","Lichen_Yellow","Cladonia mitis",17
"60","Lichen_Yellow","Cladonia steallaris",20
"61","Lichen_Yellow","Cladonia sulphurina",3
"62","Lichen_Yellow","Cladonia uncialis",10
"63","Lichen_Yellow","Dactylina arctica",7
"64","Lichen_Yellow","Evernia mesomorpha",20
"65","Lichen_Yellow","Flavocetraria cucculata",9
"66","Lichen_Yellow","Flavocetraria nivalis",19
"67","Lichen_Yellow","Nephroma arcticum",21
"68","Lichen_Yellow","Parmeliopsis ambigua",4
"69","Lichen_Yellow","Unknown",5
"70","Lichen_Yellow","Usnea lapponica",12
"71","Lichen_Yellow","Usnea scabrata",12
"72","Lichen_Yellow","Vulpicida pinastri",12
"73","Moss_Acrocarp","Aulacomnium palustre",6
"74","Moss_Acrocarp","Aulacomnium turgidum",6
"75","Moss_Acrocarp","Ceratadon purpureus",5
"76","Moss_Acrocarp","Dicranum sp.",5
"77","Moss_Acrocarp","Plagiomnium sp.",4
"78","Moss_Acrocarp","Polytrichum juniperinum",10
"79","Moss_Acrocarp","Polytrichum sp.",13
"80","Moss_Acrocarp","Rhytidum rugosum",6
"81","Moss_Pleurocarp","Hylocomium splendens",13
"82","Moss_Pleurocarp","Pleurozium schreberi",4
"83","Moss_Pleurocarp","Racomitrium lanoiginosum",4
"84","Moss_Pleurocarp","Tomenthypnum nitens",2
"85","Moss_Sphagnum","Sphagnum fuscum",4
"86","Moss_Sphagnum","Sphagnum sp.",8
"87","Shrub_Alder","Alnus sp.",44
"88","Shrub_Other","Betula nana",56
"89","Shrub_Other","Ledum decumbens",19
"90","Shrub_Other","Vaccinium vitis-idea",21
"91","Shrub_Salix","Salix (wooly)",10
"92","Shrub_Salix","Salix alaxensis",47
"93","Shrub_Salix","Salix arbusculoides",4
"94","Shrub_Salix","Salix glauca",16
"95","Shrub_Salix","Salix lanata",4
"96","Shrub_Salix","Salix ovalifolia",6
"97","Shrub_Salix","Salix pulchra",10
"98","Shrub_Salix","Salix richardsonii",4
"99","Tree_Broad","Betula neoalaskana",4
"100","Tree_Broad","Populus balsamifera",8
"101","Tree_Needle","Picea mariana",17
