"ScanID","PFT","PFT_2","PFT_3","PFT_4","Area","PFT2_Freq","PFT3_Freq","PFT4_Freq","450","520","630","770","1550","2090"
"salsic_AK2018_01","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.053303,0.081219,0.183403,0.454296,0.387771,0.279427
"salsic_AK2018_02","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.031439,0.060042,0.166726,0.404519,0.323614,0.232084
"salsic_AK2018_07","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.060005,0.099398,0.191576,0.418751,0.349308,0.26679
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.039316,0.081047,0.083414,0.477986,0.255393,0.133773
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.05061,0.070145,0.18153,0.454659,0.409584,0.291864
"salsic_AK2018_08","dead salix","Dead Salix","Abiotic_Litter","Abiotic","AK2018",8,13,58,0.03758,0.064887,0.049606,0.498937,0.243213,0.122065
"spbark_AK2018_03","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic","AK2018",5,13,58,0.099565,0.106043,0.128101,0.169081,0.343871,0.300685
"spbark_AK2018_04","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic","AK2018",5,13,58,0.090593,0.100139,0.12648,0.168992,0.30619,0.23238
"spbark_AK2018_05","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic","AK2018",5,13,58,0.083443,0.0821,0.088547,0.106434,0.252518,0.239433
"spbark_AK2018_02","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic","AK2018",5,13,58,0.073042,0.080827,0.101398,0.14683,0.274236,0.22314
"spbark_AK2018_01","spruce bark","Pices (bark)","Abiotic_Litter","Abiotic","AK2018",5,13,58,0.093985,0.104913,0.137931,0.18915,0.373188,0.29997
"31","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.145968,0.172561,0.213424,0.208472,0.17235,0.16229
"36","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.066679,0.096387,0.180517,0.192951,0.265803,0.208886
"33","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.080836,0.103852,0.178984,0.214473,0.257853,0.211513
"37","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.126325,0.162015,0.218031,0.22217,0.203559,0.185678
"32","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.088123,0.126592,0.217537,0.22046,0.161314,0.137488
"34","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.071715,0.082405,0.12871,0.156923,0.256521,0.237481
"35","bare rock","Bare Rock","Abiotic_Rock","Abiotic","Murphy",7,37,58,0.066209,0.085938,0.156276,0.180104,0.191746,0.168728
"95","gravel","Gravel","Abiotic_Rock","Abiotic","Murphy",5,37,58,0.095255,0.109571,0.12328,0.143257,0.17234,0.157984
"97","gravel","Gravel","Abiotic_Rock","Abiotic","Murphy",5,37,58,0.06821,0.077833,0.097856,0.135638,0.25884,0.227989
"96","gravel","Gravel","Abiotic_Rock","Abiotic","Murphy",5,37,58,0.073022,0.088492,0.111716,0.125001,0.143477,0.128747
