"PFT_2","PC1","PC2","PC3","PC4","PC5","PC6"
"Cladonia rangiferina",-19.780481002803,-19.5754412143693,2.65349710123534,-0.278761896237454,0.339771647553918,0.754217083829641
"Cladonia rangiferina",-22.5649110811668,-18.4313172832726,2.99392008772317,0.133338880363523,0.628583504897674,0.586761649876092
"Cladonia rangiferina",-23.7750985226306,-19.1296544293353,3.13379566913809,-0.577645540981688,0.398075953426789,1.07843035705287
"Cladonia rangiferina",5.8714604029825,-20.3309905642752,3.51499139565934,1.15477932390889,0.836392501997802,1.50142708947056
"Evernia mesomorpha",-26.5675287547448,-20.865322131452,-5.63609562351663,2.34538291668342,0.102358234027389,0.60325148284999
"Evernia mesomorpha",15.2026645129971,-26.7008148692528,-9.63507419702971,6.99321812660458,0.871327276715279,2.20368787382798
"Evernia mesomorpha",30.0091713453543,-28.2520558920517,-11.8483396374096,8.1466143303305,0.898901432635794,3.7113818255496
"Evernia mesomorpha",16.8074639265997,-26.9537522568234,-5.52998481652447,8.49470444590178,1.28331455612446,0.992163220015875
"Evernia mesomorpha",-12.4036789485504,-22.7444243400418,-10.5964209588801,4.11274758680385,-0.878393099846218,-0.416049154822228
"Rosa acicularis",-9.815437860683,-1.11934113138665,-2.69185257450114,1.74945333887174,-2.55115163304552,0.984924997261296
"Rosa acicularis",-10.4989102296187,-1.56586050260258,-2.2777196540182,1.80135218277429,-2.42664020923006,0.978357653597555
"Rosa acicularis",-11.7927979935309,-1.971738256562,-3.25642427031435,1.41406310858886,-2.67902619068333,1.00377715708456
"Rosa acicularis",-11.1654873428347,-1.72769723210418,-2.59813820690569,1.74589894457735,-2.61865771431532,0.904865078877591
"Rosa acicularis",-7.72385286712813,-1.24618233048012,-2.89792352788846,2.06080264535107,-2.82552011888453,0.960527840570711
"Rosa acicularis",-10.435193736332,-2.48528016762309,-3.3991188809271,2.1063817355382,-2.80161239513888,1.09073161867147
"Rosa acicularis",-10.0038613277001,-2.38632844569688,-2.98206408960225,2.18109327874306,-2.91268377373005,0.887618340228598
"Rosa acicularis",-11.7880880933672,-2.76143602261691,-2.9969775983109,1.65097349280664,-2.71184890064249,0.849475067153196
"Vaccinium vitis-idea",17.3004508780502,-31.5977256498551,-26.6712534490662,1.15828274707789,-3.33422158972093,2.21415577044835
"Vaccinium vitis-idea",-7.9433142200912,-27.5995849154166,-19.3484451872208,-0.00448804145998247,-3.47315082205917,0.848326167820288
"Vaccinium vitis-idea",-2.34529745772089,-31.0323265136068,-24.5864302286427,0.677570644754555,-4.78354334250965,1.27271784268797
"Vaccinium vitis-idea",-1.13725047350306,-28.6852964029399,-20.5858158386742,1.06174536992942,-3.600282561099,-0.153102277294201
"Vaccinium vitis-idea",12.8484425969704,-27.456425480628,-19.6276399246322,0.707077141151523,-1.79215302358212,0.282338190821258
"Vaccinium vitis-idea",6.64627255639792,-28.8778510539139,-14.7842498537003,0.276562859847459,-1.30931943276203,-1.08921671319745
"Vaccinium vitis-idea",4.55262074803319,-32.5371469547121,-23.5055464988891,0.129700495071926,-4.90045914558886,0.848840788196097
"Vaccinium vitis-idea",11.8183599758493,-25.7549964022849,-20.1180377468169,1.34854047677103,-0.935594104558038,0.634589782438863
"Vaccinium vitis-idea",-14.299717634811,7.95416838195571,5.58847880372223,1.83032599128369,2.08488840237002,3.49052713965232
"Vaccinium vitis-idea",-11.7572260276291,5.8875693207581,2.6522219965859,2.40742513937892,0.259989370545417,2.05821999779876
"Vaccinium vitis-idea",-12.4396921758591,-4.20756349636458,5.3433717679792,2.74480797960039,-0.659434449878154,1.2290232882471
"Vaccinium vitis-idea",-13.7860535209763,2.99905800287767,2.43638808115005,2.60009568422461,-0.0709708282901408,1.76649189326553
"Betula nana",-11.3865386852748,-2.14585558698261,-0.0355765047151399,2.92741112469239,-1.71804000131121,1.11506915825708
"Betula nana",-10.1504136573283,-0.856638252033431,-0.111084797704576,2.85605879280104,-1.59591279547682,1.1216418235772
"Betula nana",-9.91056660467599,-0.632879965548577,-0.146354344113879,3.06953175263889,-1.66375757228166,1.06890545957697
"Betula nana",-6.97910315209659,1.48477899074401,-0.0742208947150719,3.074256016169,-1.40845126570957,1.42967747195896
"Cladonia steallaris",-3.38851327884989,-19.6689916852633,4.07624084253391,6.33086096518585,3.60704157000141,0.406815223016049
"Cladonia steallaris",0.89637575344271,-22.282340839042,3.17651691182108,6.99094612271823,2.94202755092864,0.763437265131088
"Cladonia steallaris",-23.2574371091993,-18.409965547712,3.25981437730743,3.6205520715671,2.24831441825888,-0.0816345697857775
"Cladonia steallaris",-20.5559364534103,-16.9685160599709,5.06710770889986,4.1159979431251,2.40887898923164,0.0131211765302523
"Vaccinium vitis-idea",-38.0842377005487,-10.2592255821149,1.02185399065944,-0.0746052161166274,0.434062490273298,0.560525533197944
"Vaccinium vitis-idea",-23.397369568856,-5.02803002976293,1.10235123030033,0.780492645319923,1.08851099140506,1.04281873459872
"Vaccinium vitis-idea",-27.9492194637723,-6.53061057146052,0.375624646440419,0.826379577714893,0.202159178032244,0.992738429842783
"Vaccinium vitis-idea",-23.3560401550907,-5.22642157235949,-0.042672090312689,1.08219607571033,0.683194044779322,0.92544682100103
"Betula nana",-51.1787264312925,-16.8086814174489,-1.66106836520961,-1.06321134245968,-0.317696582946428,0.0209242910016927
"Betula nana",-10.4064059888852,1.66854473446675,-0.454989789448476,1.66191867199039,-0.912181793786948,1.81902390591195
"Betula nana",-7.72949717769486,0.586688547829219,-0.0857360393325829,3.16011473493254,-1.87523615121891,0.92151695899126
"Betula nana",-8.22907111527035,1.82689981615899,0.0827092750848113,2.66005802536838,-1.20589097713778,1.25013044904803
"Betula nana",-9.37099503097933,-0.41974015532311,0.809470558504267,2.73620603686997,-1.49232470263761,1.21983843614371
"Betula nana",-14.9812101395553,0.520127994636286,-0.40290283467929,2.92149199740238,-1.89674142095302,1.07320814588129
"Betula nana",-16.4957698031747,0.92836504799413,-1.19913613845104,2.68465059126289,-1.86865946649449,0.822018734024613
"Betula nana",-19.1169363552275,1.59883582074069,0.520325068081615,2.76142050330576,-0.867069488413094,1.07626540945173
"Cladonia steallaris",-12.5762364606542,-21.3730693971849,2.8977680629906,5.47822305926447,2.67247472170014,0.436331354577788
"Cladonia steallaris",-28.8407081665757,-19.6245908444641,2.65694977041921,3.1881368449965,1.74849238498587,-0.0714440847183906
"Cladonia steallaris",2.84358107615136,-23.5071705559954,5.40237045334287,7.66651855243457,3.71319845916327,0.797755508568444
"Cladonia steallaris",-26.4765278285203,-20.5515214168467,-1.19609408252397,3.36557495351496,1.4253943443798,0.415714482917499
"Cladonia steallaris",-2.29506001195681,-22.4115879002466,2.45716610110422,6.53258463235978,2.48918772993565,0.75013157243364
"Cladonia steallaris",-16.4086274914515,-21.2736104840916,0.830589242609883,4.02412633816885,1.52654672115057,0.624085703389797
"Cladonia steallaris",-18.9565156129192,-23.197140761188,0.272955827000705,3.66664806273225,0.944185379128694,0.75999319705463
"Cladonia steallaris",-19.546604963625,-20.0021413468388,0.329668687666559,3.84699403307668,1.61971491265848,-0.145824528846605
"Nephroma arcticum",17.613162358356,-16.5070511559775,4.09055947665957,8.41208581867441,3.25191889904386,-0.370821437431597
"Nephroma arcticum",40.5500211675542,-19.283853058193,6.22716200822354,11.1434866091704,3.14330718035548,-0.461355268498958
"Nephroma arcticum",-5.83506286475501,-13.7732129853557,0.430313691100913,5.85091874455956,2.02110046243511,-0.617644109564682
"Nephroma arcticum",2.46393043009453,-15.1138898246105,-0.817819774676342,6.71560421286669,3.07990436347162,-0.0227069082482602
"Vaccinium vitis-idea",-17.5436903439817,5.70769163632381,6.56497157201114,1.07830637978843,3.79077105085261,4.20506686945033
