"","Species","raw_005nm_PCA_equal05"
"1","Alectoria ochroleuca",0.2
"2","Alnus sp.",0.4
"3","Arctostaphyllos",0.4
"4","Asahinea chrysantha",0.6
"5","Aulacomnium palustre",0
"6","Aulacomnium turgidum",0.4
"7","Betula nana",1
"8","Bryoria sp.",0.2
"9","Carex sp.",0.4
"10","Cassiope tetragona",0.4
"11","Ceratadon purpureus",0
"12","Cetraria islandica",0.6
"13","Cladonia amaurocraea",0.2
"14","Cladonia gracilis",0.8
"15","Cladonia mitis",0.6
"16","Cladonia rangiferina",0.6
"17","Cladonia steallaris",0.4
"18","Cladonia stygia",0.2
"19","Cladonia uncialis",0.4
"20","Dactylina arctica",0.4
"21","Dicranum sp.",0.6
"22","Dryas alleghenies",1
"23","Dryas octopetala",0.6
"24","Dryas sp.",0
"25","Empetrum nigrum",0.4
"26","Eriophorum vaginatum",0
"27","Evernia mesomorpha",1
"28","Flavocetraria cucculata",0.8
"29","Flavocetraria nivalis",0.6
"30","Heracleum lanatum",0
"31","Hylocomium splendens",0
"32","Hypogymnia austerodes",0.2
"33","Icmadophila ericetorum",0.2
"34","Ledum decumbens",0.6
"35","Lupinus sp.",0.2
"36","Masonhalea richardsonii",0.2
"37","Melanelia sp.",0.4
"38","Nephroma arcticum",1
"39","Parmelis sulcata",0.4
"40","Pedicularis racemosa",0.4
"41","Peltigera apthosa",0.6
"42","Peltigera scabrata",0.2
"43","Petasites frigida",0.6
"44","Picea mariana",0.6
"45","Pilophorus acicularis",0.2
"46","Polytrichum juniperinum",0.2
"47","Polytrichum sp.",0.2
"48","Porpidia sp.",0.2
"49","Rhizocarpon geographicum",0
"50","Rhytidum rugosum",0.4
"51","Rosa acicularis",0
"52","Rubus sp.",0.6
"53","Salix (wooly)",0.6
"54","Salix alaxensis",0.6
"55","Salix glauca",0.4
"56","Salix ovalifolia",0
"57","Salix pulchra",0.6
"58","Sphagnum sp.",0.6
"59","Stereocaulon sp.",0.4
"60","Toefeldia sp.",0.2
"61","Trapelopsis granulosa",0.2
"62","Umbilicaria hyperborea",0
"63","Unknown",0
"64","Usnea lapponica",0.2
"65","Usnea scabrata",0.2
"66","Vaccinium vitis-idea",0.6
"67","Vulpicida pinastri",0.4
