"Species","raw_PCA_equal10"
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.1
"Bryoria sp.",0.1
"Carex sp.",0
"Cetraria islandica",0
"Cladonia gracilis",0.1
"Cladonia rangiferina",0.1
"Cladonia uncialis",0.2
"Empetrum nigrum",0.1
"Eriophorum vaginatum",0
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.1
"Melanelia sp.",0.2
"Parmelis sulcata",0
"Pedicularis racemosa",0.2
"Peltigera apthosa",0
"Picea mariana",0.2
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0
"Rosa acicularis",0.1
"Rubus sp.",0.1
"Salix (wooly)",0.1
"Salix alaxensis",0.2
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0.2
"Usnea scabrata",0
