"","Species","raw_005nm_PCA_more10"
"3","Asahinea chrysantha",0.210526315789474
"5","Bryoria sp.",0.1
"14","Dryas alleghenies",0.169117647058823
"15","Dryas octopetala",0.0555555555555556
"19","Evernia mesomorpha",0.25
"25","Lupinus sp.",0.25
"28","Nephroma arcticum",0.285714285714286
"29","Parmelis sulcata",0.166666666666667
"31","Peltigera apthosa",0.214285714285714
"32","Picea mariana",0.117647058823529
"36","Porpidia sp.",0.181818181818182
"37","Rhizocarpon geographicum",0.0555555555555556
"38","Rosa acicularis",0.222222222222222
"41","Salix alaxensis",0.106382978723404
"44","Umbilicaria hyperborea",0.133333333333333
"45","Usnea lapponica",0.0833333333333334
"46","Usnea scabrata",0.166666666666667
"48","Vulpicida pinastri",0.0833333333333334
