"","Species","raw_005nm_PCA_more15"
"1","Alnus sp.",0.318181818181818
"2","Arctostaphyllos",0.421052631578947
"3","Asahinea chrysantha",0.421052631578947
"4","Betula nana",0.428571428571429
"5","Carex sp.",0.375
"6","Cladonia gracilis",0.166666666666667
"7","Cladonia mitis",0.588235294117647
"8","Cladonia rangiferina",0.3
"9","Cladonia steallaris",0.25
"10","Cladonia stygia",0.333333333333333
"11","Dryas alleghenies",0.121323529411765
"12","Dryas octopetala",0.0702614379084967
"13","Dryas sp.",0.348837209302326
"14","Evernia mesomorpha",0.3
"15","Flavocetraria nivalis",0.210526315789474
"16","Ledum decumbens",0.736842105263158
"17","Nephroma arcticum",0.285714285714286
"18","Picea mariana",0.176470588235294
"19","Pilophorus acicularis",0.333333333333333
"20","Rhizocarpon geographicum",0.0555555555555556
"21","Rosa acicularis",0.333333333333333
"22","Salix alaxensis",0.0638297872340425
"23","Salix glauca",0.375
"24","Umbilicaria hyperborea",0
"25","Vaccinium vitis-idea",0.714285714285714
