"Species","raw_PCA_more10"
"Bryoria sp.",0.1
"Cladonia uncialis",0.2
"Dryas alleghenies",0.172794117647059
"Dryas octopetala",0.0637254901960784
"Eriophorum vaginatum",0.2
"Lupinus sp.",0.166666666666667
"Melanelia sp.",0.230769230769231
"Nephroma arcticum",0.285714285714286
"Parmelis sulcata",0
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.266666666666667
"Porpidia sp.",0.272727272727273
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.0851063829787234
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.166666666666667
"Usnea scabrata",0.25
"Vulpicida pinastri",0.0833333333333334
