"Species","Raw_PCA_010nm"
"Alnus sp.",0.431818181818182
"Arctostaphyllos",0.473684210526316
"Asahinea chrysantha",0.473684210526316
"Betula nana",0.428571428571429
"Bryoria sp.",0.1
"Carex sp.",0.375
"Cetraria islandica",0.714285714285714
"Cladonia gracilis",0.388888888888889
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.4
"Cladonia steallaris",0.45
"Cladonia stygia",0.333333333333333
"Cladonia uncialis",0.3
"Dryas alleghenies",0.165441176470588
"Dryas octopetala",0.0669934640522876
"Dryas sp.",0.488372093023256
"Empetrum nigrum",0.333333333333333
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.45
"Flavocetraria cucculata",0.571428571428571
"Flavocetraria nivalis",0.368421052631579
"Hylocomium splendens",0.461538461538462
"Hypogymnia austerodes",0.384615384615385
"Ledum decumbens",0.894736842105263
"Lupinus sp.",0.25
"Masonhalea richardsonii",0.428571428571429
"Melanelia sp.",0.230769230769231
"Nephroma arcticum",0.285714285714286
"Parmelis sulcata",0
"Pedicularis racemosa",0.363636363636364
"Peltigera apthosa",0.285714285714286
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.266666666666667
"Polytrichum juniperinum",0.5
"Polytrichum sp.",0.461538461538462
"Porpidia sp.",0.272727272727273
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.111111111111111
"Rubus sp.",0.5
"Salix (wooly)",0.3
"Salix alaxensis",0.0851063829787234
"Salix glauca",0.5625
"Salix pulchra",0.5
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.166666666666667
"Usnea scabrata",0.25
"Vaccinium vitis-idea",0.714285714285714
"Vulpicida pinastri",0.0833333333333334
