"Species","raw_PCA_equal05"
"Alectoria ochroleuca",0
"Alnus sp.",0.8
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.6
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.6
"Betula nana",1
"Bryoria sp.",0.2
"Carex sp.",0.4
"Cassiope tetragona",0.2
"Ceratadon purpureus",0.2
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.6
"Cladonia gracilis",1
"Cladonia mitis",0.4
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.4
"Cladonia stygia",0.2
"Cladonia uncialis",0.4
"Dactylina arctica",0
"Dicranum sp.",0.2
"Dryas alleghenies",0.4
"Dryas octopetala",0.4
"Dryas sp.",0.2
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.2
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",0
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0
"Ledum decumbens",0.6
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.4
"Melanelia sp.",0.6
"Nephroma arcticum",0.2
"Parmelis sulcata",0.4
"Pedicularis racemosa",0.6
"Peltigera apthosa",0.6
"Peltigera scabrata",0
"Petasites frigida",0.4
"Picea mariana",0.6
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.4
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.2
"Rhytidum rugosum",0.2
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.2
"Salix alaxensis",0.4
"Salix glauca",0.4
"Salix ovalifolia",0.4
"Salix pulchra",0.2
"Sphagnum sp.",0.2
"Stereocaulon sp.",0
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0.2
"Unknown",0
"Usnea lapponica",0
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0
