"Species","Raw_PCA_050nm"
"Alnus sp.",0.5
"Arctostaphyllos",0.3
"Asahinea chrysantha",0.2
"Betula nana",0.7
"Bryoria sp.",0
"Carex sp.",0.3
"Cetraria islandica",0.1
"Cladonia gracilis",0.1
"Cladonia mitis",0.2
"Cladonia rangiferina",0.3
"Cladonia steallaris",0.4
"Cladonia stygia",0.4
"Cladonia uncialis",0.2
"Dryas alleghenies",0.6
"Dryas octopetala",0.9
"Dryas sp.",0.5
"Empetrum nigrum",0
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.2
"Flavocetraria nivalis",0.4
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.1
"Ledum decumbens",0.8
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.2
"Nephroma arcticum",0.1
"Parmelis sulcata",0
"Pedicularis racemosa",0
"Peltigera apthosa",0.3
"Picea mariana",0.4
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.2
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.3
"Salix (wooly)",0.2
"Salix alaxensis",0.1
"Salix glauca",0.3
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.1
"Usnea lapponica",0.1
"Usnea scabrata",0
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.1
