"Species","raw_PCA_more15"
"Alnus sp.",0.318181818181818
"Arctostaphyllos",0.368421052631579
"Asahinea chrysantha",0.368421052631579
"Betula nana",0.392857142857143
"Carex sp.",0.25
"Cladonia gracilis",0.333333333333333
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.35
"Cladonia stygia",0.333333333333333
"Dryas alleghenies",0.161764705882353
"Dryas octopetala",0.0735294117647058
"Dryas sp.",0.465116279069767
"Evernia mesomorpha",0.2
"Flavocetraria nivalis",0.157894736842105
"Ledum decumbens",0.894736842105263
"Nephroma arcticum",0.285714285714286
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.333333333333333
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.148936170212766
"Salix glauca",0.4375
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.666666666666667
