"Species","Raw_PCA_allbands"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.2
"Arctostaphyllos",0.6
"Asahinea chrysantha",0.4
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.4
"Betula nana",0.8
"Bryoria sp.",0
"Carex sp.",0
"Cassiope tetragona",0.2
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.2
"Cladonia gracilis",0.2
"Cladonia mitis",0.4
"Cladonia rangiferina",0
"Cladonia steallaris",0
"Cladonia stygia",0.8
"Cladonia uncialis",0
"Dactylina arctica",0.4
"Dicranum sp.",0.4
"Dryas alleghenies",1
"Dryas octopetala",1
"Dryas sp.",0.2
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.4
"Flavocetraria nivalis",0.2
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",0.4
"Icmadophila ericetorum",0.2
"Ledum decumbens",0.8
"Lupinus sp.",0
"Masonhalea richardsonii",0.6
"Melanelia sp.",0.6
"Nephroma arcticum",0.4
"Parmelis sulcata",0
"Pedicularis racemosa",0.4
"Peltigera apthosa",1
"Peltigera scabrata",0.2
"Petasites frigida",0.2
"Picea mariana",0.8
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.4
"Porpidia sp.",0
"Rhizocarpon geographicum",0
"Rhytidum rugosum",0.2
"Rosa acicularis",0.2
"Rubus sp.",0.4
"Salix (wooly)",0.2
"Salix alaxensis",0.4
"Salix glauca",0.6
"Salix ovalifolia",0
"Salix pulchra",0.2
"Sphagnum sp.",0.2
"Stereocaulon sp.",0
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",0
"Unknown",0.2
"Usnea lapponica",0.8
"Usnea scabrata",0.4
"Vaccinium vitis-idea",0.2
"Vulpicida pinastri",0
