"Species","raw_PCA_equal10"
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.2
"Bryoria sp.",0.1
"Carex sp.",0.2
"Cladonia gracilis",0
"Cladonia mitis",0.2
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.2
"Cladonia uncialis",0.1
"Eriophorum vaginatum",0.1
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0
"Hypogymnia austerodes",0.2
"Lupinus sp.",0.1
"Melanelia sp.",0.2
"Parmelis sulcata",0
"Pedicularis racemosa",0.1
"Picea mariana",0.1
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.1
"Porpidia sp.",0
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0
"Salix alaxensis",0
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.1
"Vulpicida pinastri",0.1
