"","Species","raw_PCA_equal10"
"1","Alnus sp.",0.2
"2","Arctostaphyllos",0.4
"3","Asahinea chrysantha",0.4
"4","Betula nana",0.2
"5","Bryoria sp.",0
"6","Carex sp.",0.1
"7","Cetraria islandica",0.3
"8","Cladonia gracilis",0.1
"9","Cladonia mitis",0.2
"10","Cladonia rangiferina",0.2
"11","Cladonia steallaris",0.4
"12","Cladonia stygia",0.4
"13","Cladonia uncialis",0.4
"14","Dryas alleghenies",0.4
"15","Dryas octopetala",0.8
"16","Dryas sp.",0.3
"17","Empetrum nigrum",0.1
"18","Eriophorum vaginatum",0.1
"19","Evernia mesomorpha",0.1
"20","Flavocetraria cucculata",0.6
"21","Flavocetraria nivalis",0.4
"22","Hylocomium splendens",0
"23","Hypogymnia austerodes",0.2
"24","Ledum decumbens",0.8
"25","Lupinus sp.",0
"26","Masonhalea richardsonii",0.2
"27","Melanelia sp.",0
"28","Nephroma arcticum",0.1
"29","Parmelis sulcata",0.1
"30","Pedicularis racemosa",0.1
"31","Peltigera apthosa",0.2
"32","Picea mariana",0.2
"33","Pilophorus acicularis",0.3
"34","Polytrichum juniperinum",0
"35","Polytrichum sp.",0
"36","Porpidia sp.",0
"37","Rhizocarpon geographicum",0.1
"38","Rosa acicularis",0
"39","Rubus sp.",0
"40","Salix (wooly)",0.1
"41","Salix alaxensis",0.2
"42","Salix glauca",0.5
"43","Salix pulchra",0.1
"44","Umbilicaria hyperborea",0.1
"45","Usnea lapponica",0.3
"46","Usnea scabrata",0.1
"47","Vaccinium vitis-idea",0.3
"48","Vulpicida pinastri",0.1
