"","Species","raw_PCA_equal15"
"2","Arctostaphyllos",0
"3","Asahinea chrysantha",0.2
"5","Carex sp.",0.133333333333333
"6","Cladonia gracilis",0.2
"7","Cladonia mitis",0.0666666666666667
"8","Cladonia rangiferina",0.133333333333333
"9","Cladonia steallaris",0.133333333333333
"10","Cladonia stygia",0.2
"15","Flavocetraria nivalis",0.0666666666666667
"16","Ledum decumbens",0.0666666666666667
"17","Nephroma arcticum",0.133333333333333
"18","Picea mariana",0.0666666666666667
"19","Pilophorus acicularis",0.0666666666666667
"20","Rhizocarpon geographicum",0.0666666666666667
"21","Rosa acicularis",0
"22","Salix alaxensis",0.2
"23","Salix glauca",0.133333333333333
"24","Umbilicaria hyperborea",0
"25","Vaccinium vitis-idea",0.266666666666667
