"Species","raw_PCA_more05"
"Alectoria ochroleuca",0.333333333333333
"Alnus sp.",0.340909090909091
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.315789473684211
"Aulacomnium palustre",0.5
"Aulacomnium turgidum",0.666666666666667
"Betula nana",0.410714285714286
"Bryoria sp.",0.1
"Carex sp.",0.375
"Cassiope tetragona",1
"Ceratadon purpureus",0
"Cetraria islandica",0.642857142857143
"Cladonia amaurocraea",0.666666666666667
"Cladonia gracilis",0.388888888888889
"Cladonia mitis",0.411764705882353
"Cladonia rangiferina",0.35
"Cladonia steallaris",0.35
"Cladonia stygia",0.388888888888889
"Cladonia uncialis",0.6
"Dactylina arctica",0.428571428571429
"Dicranum sp.",0.4
"Dryas alleghenies",0.158088235294118
"Dryas octopetala",0.0637254901960784
"Dryas sp.",0.441860465116279
"Empetrum nigrum",0.25
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.368421052631579
"Heracleum lanatum",0
"Hylocomium splendens",0.615384615384615
"Hypogymnia austerodes",0.384615384615385
"Icmadophila ericetorum",0.25
"Ledum decumbens",0.842105263157895
"Lupinus sp.",0.25
"Masonhalea richardsonii",0.5
"Melanelia sp.",0.461538461538462
"Nephroma arcticum",0.333333333333333
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Peltigera apthosa",0.285714285714286
"Peltigera scabrata",0.285714285714286
"Petasites frigida",0.75
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.333333333333333
"Polytrichum juniperinum",0.3
"Polytrichum sp.",0.538461538461538
"Porpidia sp.",0.363636363636364
"Rhizocarpon geographicum",0.111111111111111
"Rhytidum rugosum",0.333333333333333
"Rosa acicularis",0.222222222222222
"Rubus sp.",0.416666666666667
"Salix (wooly)",0.4
"Salix alaxensis",0.148936170212766
"Salix glauca",0.6875
"Salix ovalifolia",0.5
"Salix pulchra",0.6
"Sphagnum sp.",0
"Stereocaulon sp.",0.125
"Toefeldia sp.",0.6
"Trapelopsis granulosa",1
"Umbilicaria hyperborea",0.133333333333333
"Unknown",0.4
"Usnea lapponica",0.0833333333333334
"Usnea scabrata",0.333333333333333
"Vaccinium vitis-idea",0.714285714285714
"Vulpicida pinastri",0.0833333333333334
