"Species","raw_PCA_more10"
"Asahinea chrysantha",0.157894736842105
"Bryoria sp.",0
"Dryas alleghenies",0.176470588235294
"Dryas octopetala",0.0604575163398693
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.25
"Lupinus sp.",0.25
"Nephroma arcticum",0.238095238095238
"Parmelis sulcata",0.25
"Picea mariana",0.176470588235294
"Pilophorus acicularis",0.266666666666667
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0.222222222222222
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.133333333333333
"Usnea lapponica",0.0833333333333334
"Usnea scabrata",0.166666666666667
"Vulpicida pinastri",0.0833333333333334
