"","Species","raw_005nm_equal05"
"3","Arctostaphyllos",0.2
"5","Aulacomnium palustre",0.2
"8","Bryoria sp.",0
"9","Carex sp.",0.2
"11","Ceratadon purpureus",0
"13","Cladonia amaurocraea",0.2
"19","Cladonia uncialis",0.2
"24","Dryas sp.",0
"26","Eriophorum vaginatum",0
"30","Heracleum lanatum",0
"31","Hylocomium splendens",0.2
"32","Hypogymnia austerodes",0.2
"33","Icmadophila ericetorum",0.2
"35","Lupinus sp.",0.2
"43","Petasites frigida",0.2
"45","Pilophorus acicularis",0.2
"46","Polytrichum juniperinum",0.2
"47","Polytrichum sp.",0.2
"48","Porpidia sp.",0.2
"51","Rosa acicularis",0
"56","Salix ovalifolia",0.2
"57","Salix pulchra",0.2
"62","Umbilicaria hyperborea",0
"63","Unknown",0
"64","Usnea lapponica",0.2
"65","Usnea scabrata",0
