"Species","Raw_005nm"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.2
"Arctostaphyllos",0.8
"Asahinea chrysantha",0.6
"Aulacomnium palustre",0.4
"Aulacomnium turgidum",0.4
"Betula nana",1
"Bryoria sp.",0.4
"Carex sp.",0.2
"Cassiope tetragona",0.4
"Ceratadon purpureus",0.2
"Cetraria islandica",0
"Cladonia amaurocraea",0.4
"Cladonia gracilis",1
"Cladonia mitis",0.2
"Cladonia rangiferina",1
"Cladonia steallaris",0.6
"Cladonia stygia",1
"Cladonia uncialis",0.6
"Dactylina arctica",0.2
"Dicranum sp.",0.2
"Dryas alleghenies",1
"Dryas octopetala",0.8
"Dryas sp.",0.2
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",1
"Flavocetraria nivalis",1
"Heracleum lanatum",0
"Hylocomium splendens",0.6
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0.2
"Ledum decumbens",0.6
"Lupinus sp.",0
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.8
"Nephroma arcticum",0.6
"Parmelis sulcata",0.2
"Pedicularis racemosa",0
"Peltigera apthosa",0.8
"Peltigera scabrata",0.4
"Petasites frigida",1
"Picea mariana",0.6
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.6
"Polytrichum sp.",0.2
"Porpidia sp.",0.4
"Rhizocarpon geographicum",0.8
"Rhytidum rugosum",0
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.4
"Salix alaxensis",0.8
"Salix glauca",0.4
"Salix ovalifolia",0.6
"Salix pulchra",0
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.4
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0.4
"Umbilicaria hyperborea",0.6
"Unknown",0
"Usnea lapponica",0.4
"Usnea scabrata",0.4
"Vaccinium vitis-idea",0.4
"Vulpicida pinastri",0.6
