"Species","raw_005nm_equal10"
"Arctostaphyllos",0.1
"Asahinea chrysantha",0.2
"Bryoria sp.",0.1
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia gracilis",0.2
"Cladonia rangiferina",0.1
"Cladonia uncialis",0.1
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0.1
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Nephroma arcticum",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Picea mariana",0.2
"Pilophorus acicularis",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0
"Salix (wooly)",0
"Salix alaxensis",0.1
"Salix glauca",0.1
"Salix pulchra",0.1
"Umbilicaria hyperborea",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.1
