"Species","raw_010nm_equal10"
"Alnus sp.",0.6
"Arctostaphyllos",0.3
"Asahinea chrysantha",0.5
"Betula nana",0.6
"Bryoria sp.",0.1
"Carex sp.",0.4
"Cetraria islandica",0.3
"Cladonia gracilis",0.4
"Cladonia mitis",0.3
"Cladonia rangiferina",0.4
"Cladonia steallaris",0.4
"Cladonia stygia",0.5
"Cladonia uncialis",0.5
"Dryas alleghenies",0.6
"Dryas octopetala",0.8
"Dryas sp.",0.2
"Empetrum nigrum",0.6
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.4
"Flavocetraria nivalis",0.1
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.1
"Ledum decumbens",0.5
"Lupinus sp.",0
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.3
"Pedicularis racemosa",0
"Peltigera apthosa",0
"Picea mariana",0
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.2
"Salix alaxensis",0.5
"Salix glauca",0.3
"Salix pulchra",0.3
"Umbilicaria hyperborea",0.4
"Usnea lapponica",0.3
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.4
"Vulpicida pinastri",0
