"Species","Raw_allbands"
"Alectoria ochroleuca",0.4
"Alnus sp.",0.4
"Arctostaphyllos",0.6
"Asahinea chrysantha",0.8
"Aulacomnium palustre",0.6
"Aulacomnium turgidum",0.6
"Betula nana",0.8
"Bryoria sp.",0
"Carex sp.",0.6
"Cassiope tetragona",0.4
"Ceratadon purpureus",0
"Cetraria islandica",0.4
"Cladonia amaurocraea",0.6
"Cladonia gracilis",0.6
"Cladonia mitis",0.8
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.6
"Cladonia stygia",0.8
"Cladonia uncialis",0.4
"Dactylina arctica",0.2
"Dicranum sp.",0.6
"Dryas alleghenies",0.8
"Dryas octopetala",0.4
"Dryas sp.",0.4
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.4
"Heracleum lanatum",0
"Hylocomium splendens",0.4
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0
"Ledum decumbens",1
"Lupinus sp.",0.4
"Masonhalea richardsonii",1
"Melanelia sp.",0.4
"Nephroma arcticum",0.4
"Parmelis sulcata",0.4
"Pedicularis racemosa",0
"Peltigera apthosa",0.4
"Peltigera scabrata",0.2
"Petasites frigida",0.8
"Picea mariana",0.2
"Pilophorus acicularis",0
"Polytrichum juniperinum",1
"Polytrichum sp.",0.8
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.8
"Rhytidum rugosum",0.4
"Rosa acicularis",0
"Rubus sp.",0.6
"Salix (wooly)",0.2
"Salix alaxensis",0.4
"Salix glauca",0.6
"Salix ovalifolia",0
"Salix pulchra",0.4
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.4
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0.4
"Umbilicaria hyperborea",0.2
"Unknown",0
"Usnea lapponica",0.4
"Usnea scabrata",0.8
"Vaccinium vitis-idea",1
"Vulpicida pinastri",0.6
