"","Species","raw_allbands_equal10"
"1","Alnus sp.",0.2
"5","Bryoria sp.",0
"7","Cetraria islandica",0.2
"9","Cladonia mitis",0.2
"18","Eriophorum vaginatum",0
"19","Evernia mesomorpha",0.1
"22","Hylocomium splendens",0
"23","Hypogymnia austerodes",0.2
"25","Lupinus sp.",0
"27","Melanelia sp.",0.2
"28","Nephroma arcticum",0.2
"29","Parmelis sulcata",0.1
"30","Pedicularis racemosa",0
"31","Peltigera apthosa",0.2
"32","Picea mariana",0.1
"34","Polytrichum juniperinum",0.1
"35","Polytrichum sp.",0
"36","Porpidia sp.",0
"37","Rhizocarpon geographicum",0
"38","Rosa acicularis",0
"39","Rubus sp.",0.2
"40","Salix (wooly)",0.1
"41","Salix alaxensis",0.2
"43","Salix pulchra",0.1
"44","Umbilicaria hyperborea",0
"45","Usnea lapponica",0.2
"46","Usnea scabrata",0.1
"47","Vaccinium vitis-idea",0.2
