"Species","Smooth_005nm"
"Alnus sp.",0.3
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.3
"Betula nana",0.7
"Bryoria sp.",0.2
"Carex sp.",0.3
"Cetraria islandica",0.2
"Cladonia gracilis",0.3
"Cladonia mitis",0.4
"Cladonia rangiferina",0.5
"Cladonia steallaris",0.1
"Cladonia stygia",0.2
"Cladonia uncialis",0.4
"Dryas alleghenies",0.9
"Dryas octopetala",0.8
"Dryas sp.",0.3
"Empetrum nigrum",0.1
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.7
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.5
"Hylocomium splendens",0.4
"Hypogymnia austerodes",0.2
"Ledum decumbens",0.5
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.1
"Nephroma arcticum",0.3
"Parmelis sulcata",0
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.1
"Picea mariana",0.3
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0
"Polytrichum sp.",0.1
"Porpidia sp.",0
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Rubus sp.",0.1
"Salix (wooly)",0.2
"Salix alaxensis",0.2
"Salix glauca",0.3
"Salix pulchra",0.2
"Umbilicaria hyperborea",0.4
"Usnea lapponica",0.1
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.6
"Vulpicida pinastri",0.3
