"Species","Smooth_005nm"
"Alectoria ochroleuca",0.5
"Alnus sp.",0.340909090909091
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.368421052631579
"Aulacomnium palustre",0.666666666666667
"Aulacomnium turgidum",0.666666666666667
"Betula nana",0.410714285714286
"Bryoria sp.",0.2
"Carex sp.",0.375
"Cassiope tetragona",0.777777777777778
"Ceratadon purpureus",0.2
"Cetraria islandica",0.642857142857143
"Cladonia amaurocraea",0.833333333333333
"Cladonia gracilis",0.444444444444444
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.55
"Cladonia steallaris",0.45
"Cladonia stygia",0.722222222222222
"Cladonia uncialis",0.7
"Dactylina arctica",0.285714285714286
"Dicranum sp.",1
"Dryas alleghenies",0.150735294117647
"Dryas octopetala",0.0457516339869281
"Dryas sp.",0.348837209302326
"Empetrum nigrum",0.416666666666667
"Eriophorum vaginatum",0.1
"Evernia mesomorpha",0.3
"Flavocetraria cucculata",0.785714285714286
"Flavocetraria nivalis",0.526315789473684
"Heracleum lanatum",0
"Hylocomium splendens",0.538461538461538
"Hypogymnia austerodes",0.461538461538462
"Icmadophila ericetorum",0.5
"Ledum decumbens",0.894736842105263
"Lupinus sp.",0.166666666666667
"Masonhalea richardsonii",0.357142857142857
"Melanelia sp.",0.538461538461538
"Nephroma arcticum",0.333333333333333
"Parmelis sulcata",0.25
"Pedicularis racemosa",0.272727272727273
"Peltigera apthosa",0.5
"Peltigera scabrata",0.571428571428571
"Petasites frigida",0.5
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.133333333333333
"Polytrichum juniperinum",0.7
"Polytrichum sp.",0.615384615384615
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.0555555555555556
"Rhytidum rugosum",0.5
"Rosa acicularis",0.222222222222222
"Rubus sp.",0.5
"Salix (wooly)",0.3
"Salix alaxensis",0.127659574468085
"Salix glauca",0.5
"Salix ovalifolia",0.666666666666667
"Salix pulchra",0.5
"Sphagnum sp.",0.375
"Stereocaulon sp.",0.25
"Toefeldia sp.",1
"Trapelopsis granulosa",1
"Umbilicaria hyperborea",0.2
"Unknown",0.4
"Usnea lapponica",0.333333333333333
"Usnea scabrata",0.166666666666667
"Vaccinium vitis-idea",0.619047619047619
"Vulpicida pinastri",0.416666666666667
