"Species","smooth_005nm_equal05"
"Alectoria ochroleuca",0.2
"Bryoria sp.",0
"Ceratadon purpureus",0
"Dactylina arctica",0.2
"Dicranum sp.",0.2
"Dryas sp.",0
"Eriophorum vaginatum",0
"Heracleum lanatum",0
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0
"Lupinus sp.",0.2
"Peltigera apthosa",0
"Peltigera scabrata",0.2
"Petasites frigida",0.2
"Picea mariana",0.2
"Porpidia sp.",0.2
"Rosa acicularis",0.2
"Salix (wooly)",0.2
"Salix alaxensis",0
"Sphagnum sp.",0.2
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0.2
"Unknown",0.2
"Usnea scabrata",0.2
"Vulpicida pinastri",0
