"Species","smooth_005nm_equal15"
"Alnus sp.",0.333333333333333
"Arctostaphyllos",0.333333333333333
"Asahinea chrysantha",0.333333333333333
"Betula nana",0.266666666666667
"Carex sp.",0.133333333333333
"Cladonia gracilis",0.133333333333333
"Cladonia mitis",0.133333333333333
"Cladonia rangiferina",0.266666666666667
"Cladonia steallaris",0.2
"Cladonia stygia",0.333333333333333
"Dryas alleghenies",0.466666666666667
"Dryas octopetala",0.533333333333333
"Dryas sp.",0.2
"Evernia mesomorpha",0.2
"Flavocetraria nivalis",0.2
"Ledum decumbens",0.333333333333333
"Nephroma arcticum",0.2
"Picea mariana",0.0666666666666667
"Pilophorus acicularis",0.333333333333333
"Rhizocarpon geographicum",0
"Rosa acicularis",0
"Salix alaxensis",0.333333333333333
"Salix glauca",0.266666666666667
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.466666666666667
