"Species","smooth_005nm_more10"
"Bryoria sp.",0.2
"Dryas alleghenies",0.147058823529412
"Dryas octopetala",0.0506535947712419
"Eriophorum vaginatum",0.1
"Lupinus sp.",0.166666666666667
"Parmelis sulcata",0.166666666666667
"Pedicularis racemosa",0.272727272727273
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.133333333333333
"Porpidia sp.",0.0909090909090909
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.266666666666667
"Usnea scabrata",0.166666666666667
