"Species","smooth_010nm_equal05"
"Alectoria ochroleuca",0
"Alnus sp.",0.6
"Arctostaphyllos",0.6
"Asahinea chrysantha",0.6
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.2
"Betula nana",1
"Bryoria sp.",0
"Carex sp.",0.6
"Cassiope tetragona",0.6
"Ceratadon purpureus",0
"Cetraria islandica",1
"Cladonia amaurocraea",0.4
"Cladonia gracilis",1
"Cladonia mitis",0.6
"Cladonia rangiferina",0.6
"Cladonia steallaris",0.6
"Cladonia stygia",0.6
"Cladonia uncialis",0.6
"Dactylina arctica",0.4
"Dicranum sp.",0.6
"Dryas alleghenies",0.4
"Dryas octopetala",0.6
"Dryas sp.",0.4
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",1
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",1
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0.2
"Ledum decumbens",0.6
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.8
"Melanelia sp.",1
"Nephroma arcticum",0.6
"Parmelis sulcata",0.4
"Pedicularis racemosa",0.4
"Peltigera apthosa",1
"Peltigera scabrata",0
"Petasites frigida",0.2
"Picea mariana",0.6
"Pilophorus acicularis",0
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.8
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.4
"Rhytidum rugosum",0.6
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix alaxensis",0.8
"Salix glauca",0.6
"Salix ovalifolia",0
"Salix pulchra",0.4
"Sphagnum sp.",0.4
"Stereocaulon sp.",0.6
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",0.4
"Unknown",0.2
"Usnea lapponica",0
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.4
"Vulpicida pinastri",0.2
