"Species","smooth_050nm_equal05"
"Alectoria ochroleuca",0.2
"Alnus sp.",0
"Aulacomnium palustre",0
"Ceratadon purpureus",0
"Cladonia stygia",0.2
"Cladonia uncialis",0.2
"Dicranum sp.",0.2
"Empetrum nigrum",0
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.2
"Heracleum lanatum",0
"Icmadophila ericetorum",0.2
"Lupinus sp.",0.2
"Nephroma arcticum",0
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Petasites frigida",0
"Pilophorus acicularis",0.2
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix alaxensis",0.2
"Salix glauca",0.2
"Salix ovalifolia",0.2
"Salix pulchra",0
"Sphagnum sp.",0.2
"Trapelopsis granulosa",0
"Unknown",0.2
"Usnea scabrata",0.2
