"Species","smooth_050nm_more15"
"Alnus sp.",0.340909090909091
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.368421052631579
"Betula nana",0.410714285714286
"Carex sp.",0.375
"Cladonia gracilis",0.222222222222222
"Cladonia mitis",0.647058823529412
"Cladonia rangiferina",0.55
"Cladonia steallaris",0.45
"Cladonia stygia",0.444444444444444
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.0473856209150327
"Dryas sp.",0.372093023255814
"Evernia mesomorpha",0.3
"Flavocetraria nivalis",0.315789473684211
"Ledum decumbens",0.894736842105263
"Nephroma arcticum",0.333333333333333
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.133333333333333
"Rhizocarpon geographicum",0
"Rosa acicularis",0.111111111111111
"Salix alaxensis",0.127659574468085
"Salix glauca",0.375
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.619047619047619
