"Species","smooth_allbands_equal05"
"Alectoria ochroleuca",0.6
"Alnus sp.",0.6
"Arctostaphyllos",0.4
"Asahinea chrysantha",0.8
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.2
"Betula nana",1
"Bryoria sp.",0.2
"Carex sp.",0.8
"Cassiope tetragona",0
"Ceratadon purpureus",0
"Cetraria islandica",0.2
"Cladonia amaurocraea",0.4
"Cladonia gracilis",1
"Cladonia mitis",0.6
"Cladonia rangiferina",1
"Cladonia steallaris",0.4
"Cladonia stygia",1
"Cladonia uncialis",0.2
"Dactylina arctica",0.4
"Dicranum sp.",0.4
"Dryas alleghenies",1
"Dryas octopetala",0.8
"Dryas sp.",0
"Empetrum nigrum",1
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",0.6
"Flavocetraria nivalis",0.4
"Heracleum lanatum",0
"Hylocomium splendens",1
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0.4
"Ledum decumbens",0.6
"Lupinus sp.",0.4
"Masonhalea richardsonii",0.4
"Melanelia sp.",1
"Nephroma arcticum",0.2
"Parmelis sulcata",0.2
"Pedicularis racemosa",0.6
"Peltigera apthosa",1
"Peltigera scabrata",0.4
"Petasites frigida",0.6
"Picea mariana",0.2
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.6
"Polytrichum sp.",0.4
"Porpidia sp.",0.4
"Rhizocarpon geographicum",0.6
"Rhytidum rugosum",0
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.4
"Salix alaxensis",0.2
"Salix glauca",0.6
"Salix ovalifolia",0.2
"Salix pulchra",0.4
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.6
"Toefeldia sp.",0.6
"Trapelopsis granulosa",0.6
"Umbilicaria hyperborea",0.4
"Unknown",0
"Usnea lapponica",0.2
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.6
