"Species","smooth_allbands_equal10"
"Alnus sp.",0.2
"Bryoria sp.",0.1
"Cladonia uncialis",0.2
"Empetrum nigrum",0
"Eriophorum vaginatum",0
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.2
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.1
"Picea mariana",0
"Polytrichum juniperinum",0.2
"Polytrichum sp.",0.2
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.1
"Salix (wooly)",0.1
"Salix pulchra",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.1
"Vulpicida pinastri",0.2
