"Species","Smooth_010nm"
"Alnus sp.",0.295454545454545
"Arctostaphyllos",0.526315789473684
"Asahinea chrysantha",0.421052631578947
"Betula nana",0.410714285714286
"Carex sp.",0.375
"Cladonia gracilis",0.222222222222222
"Cladonia mitis",0.588235294117647
"Cladonia rangiferina",0.55
"Cladonia steallaris",0.45
"Cladonia stygia",0.5
"Dryas alleghenies",0.143382352941177
"Dryas octopetala",0.0506535947712419
"Dryas sp.",0.348837209302326
"Evernia mesomorpha",0.3
"Flavocetraria nivalis",0.315789473684211
"Ledum decumbens",0.894736842105263
"Nephroma arcticum",0.333333333333333
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0.0555555555555556
"Rosa acicularis",0
"Salix alaxensis",0.106382978723404
"Salix glauca",0.3125
"Umbilicaria hyperborea",0
"Vaccinium vitis-idea",0.619047619047619
