"Species","Smooth_050nm"
"Alectoria ochroleuca",0.2
"Alnus sp.",0
"Arctostaphyllos",1
"Asahinea chrysantha",0.4
"Aulacomnium palustre",0
"Aulacomnium turgidum",0.6
"Betula nana",1
"Bryoria sp.",0.8
"Carex sp.",0.6
"Cassiope tetragona",0.4
"Ceratadon purpureus",0
"Cetraria islandica",0.4
"Cladonia amaurocraea",0.6
"Cladonia gracilis",0.4
"Cladonia mitis",1
"Cladonia rangiferina",0.6
"Cladonia steallaris",1
"Cladonia stygia",0.2
"Cladonia uncialis",0.2
"Dactylina arctica",0.4
"Dicranum sp.",0.4
"Dryas alleghenies",0.6
"Dryas octopetala",1
"Dryas sp.",0.6
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0.2
"Evernia mesomorpha",0.2
"Flavocetraria cucculata",1
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",0.4
"Hypogymnia austerodes",0.6
"Icmadophila ericetorum",0.2
"Ledum decumbens",0.6
"Lupinus sp.",0.2
"Masonhalea richardsonii",1
"Melanelia sp.",0.6
"Nephroma arcticum",0
"Parmelis sulcata",0.4
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Peltigera scabrata",0.4
"Petasites frigida",0.2
"Picea mariana",0.6
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.6
"Porpidia sp.",0.4
"Rhizocarpon geographicum",0.4
"Rhytidum rugosum",0.4
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix alaxensis",0.2
"Salix glauca",0.2
"Salix ovalifolia",0.2
"Salix pulchra",0
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.4
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0
"Umbilicaria hyperborea",0.6
"Unknown",0.2
"Usnea lapponica",0.4
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.6
