source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,790326be-f0a4-4646-882e-74cee4afb908
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,b8c65a01-1d47-4088-a0a0-294f28e8b7f1
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,02bee6e0-474f-49cd-bd92-7778d86c06b3
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,46936fdf-49bd-44f6-85c0-3e64e9ec980e
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,a5fe5155-3cb7-464c-9f4f-c90ccf160903
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,f874cc8e-7c47-4490-9e3a-67396de52a78
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,105d5874-1e83-468b-af2f-bea37099aee9
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,acb42ec4-a716-4f78-9547-e9739c96dc07
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,196acc19-9dc5-4b7d-98f3-50bb484eb7b7
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,c474eb2a-a31e-41b8-9b60-8cb673564184
v2,no_treatment,center & scale & Nothing,balanced,1,,0.775,0.273100548499139,1.18368152605555,61718,1ed916b1-4440-4545-93c2-fc559f0f0722
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,2e5b2da8-ccf9-484f-9f4d-80e53a7600e9
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,42b18793-6907-4502-b9dd-89dacce21885
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,5be464e2-8a3e-4aa1-8c23-28fe71ee5044
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,bfc74156-2224-4c95-97a6-9defb577c17b
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,960121c8-5364-4f9e-b3dd-fda41f18fea4
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,22f2066c-76e9-4d57-bce4-726ad2adb749
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,a7f3fc59-5d0f-4d52-8792-2a01bcf3202f
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,1c91a07f-6409-4773-bade-621d1dcea945
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,8e309d26-3134-4a2b-87c4-a639b305da4d
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,7d97b2ad-2014-434c-81ec-23c178ef3df5
v2,no_treatment,center & scale & Nothing,balanced,2,,0.775,0.273100548499139,1.18368152605555,61718,c36fcb2a-0fcd-461b-8aa9-d02bed2913cb
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,3412993c-44ba-46da-a82b-5c596b1fc573
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,1ef97927-7a07-4284-aca2-ae975df5dff0
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,55e2ad71-8dca-490b-8f39-7e660ee46818
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,789b6f16-1066-4e92-b53e-3529495a9456
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,f13cfc27-c009-47a5-8b7a-59d7d93869e5
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,bac05f21-faf7-4e5e-bf39-4a47393726f4
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,9cb7d3a6-22a0-4ac9-b3bc-35baea7aa332
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,937f94bc-419d-4bff-86d4-ceb34b4f694d
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,4074f0d6-aca4-47ed-9bad-9fc1f8687b5a
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,feae1618-c29f-418b-a243-5971fce94bf2
v2,no_treatment,center & scale & Nothing,balanced,4,,0.775,0.273100548499139,1.18368152605555,61718,c5a95d80-1322-42e7-b998-ba436c394fcd
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,8e9bcd16-0c74-4851-bc7f-6f9611c9c843
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,de97e158-9715-42af-bdd7-255cb786f813
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,5127b7ef-faee-404a-97e0-dd4978e353ea
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,76bf97ab-34c3-4943-a71a-96aa26e04935
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,41424c65-020d-43b0-8e1d-c07a0a16a19b
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,adec775f-741f-4534-a352-ef05a90d0240
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,73af31c6-92fd-4cce-852c-aca923151e61
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,3b1f98e8-f96e-464f-bef2-a859b8470cb4
v2,no_treatment,center & scale & Nothing,balanced,8,,0.775,0.273100548499139,1.18368152605555,61718,dd1626c8-1b09-4ae8-94ca-164d3cc826fc
