source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
v2,SVM,center & scale & Nothing,balanced,1,,0.55,0.163963564833546,1.32090025299692,61718,08590835-4998-4c20-bbbd-342a27a867ad
v2,SVM,center & scale & Nothing,balanced,2,,0.55,0.163963564833546,1.32090025299692,61718,d7028a25-42c3-4170-89a4-78cc795d92cd
v2,SVM,center & scale & Nothing,balanced,4,,0.55,0.163963564833546,1.32090025299692,61718,c59b72b8-26ee-4d6a-b594-2a10894e9ce8
v2,SVM,center & scale & Nothing,balanced,8,,0.55,0.163963564833546,1.32090025299692,61718,ab4a9d3e-843a-41d5-b1b4-73a91f26714c
v2,SVM,center & scale & Nothing,balanced,16,,0.55,0.163963564833546,1.32090025299692,61718,ba98fab6-1e7b-4e8e-a01b-4117657869b6
v2,SVM,center & scale & Nothing,balanced,32,,0.55,0.163963564833546,1.32090025299692,61718,89a5d7da-0744-4300-a775-b037c25f72f4
v2,SVM,center & scale & Nothing,balanced,64,,0.55,0.163963564833546,1.32090025299692,61718,12ff083d-4f06-4725-bbbf-c50549983dfa
v2,SVM,center & scale & Nothing,balanced,128,,0.55,0.163963564833546,1.32090025299692,61718,77cf3446-b148-4362-80db-81a282a8a3fd
v2,SVM,center & scale & Nothing,balanced,256,,0.55,0.163963564833546,1.32090025299692,61718,b91bd036-faf7-44b2-9953-36d99b143a91
v2,SVM,center & scale & Nothing,balanced,512,,0.55,0.163963564833546,1.32090025299692,61718,3c954399-93fd-4af7-ab78-970839d1f74e
v2,SVM,center & scale & Nothing,balanced,1024,,0.55,0.163963564833546,1.32090025299692,61718,8e134a2f-6b4f-40e8-993d-c9e8884bc16f
v2,SVM,center & scale & Nothing,balanced,1,na,0.55,0.163963564833546,1.32090025299692,61718,ea819924-97d3-46fc-b3a2-e7e8ae179b3e
v2,SVM,center & scale & Nothing,balanced,2,na,0.55,0.163963564833546,1.32090025299692,61718,ac7bf9f6-e38c-4c75-9f7a-c351db1b166a
v2,SVM,center & scale & Nothing,balanced,4,na,0.55,0.163963564833546,1.32090025299692,61718,c6bd77e0-b833-4fb6-b0f5-eafcc842d953
v2,SVM,center & scale & Nothing,balanced,8,na,0.55,0.163963564833546,1.32090025299692,61718,569ace1a-d66c-419b-82d3-d6d3fe2f2d4d
v2,SVM,center & scale & Nothing,balanced,16,na,0.55,0.163963564833546,1.32090025299692,61718,a3787560-108d-46b7-bb44-11bbd3b059d7
v2,SVM,center & scale & Nothing,balanced,32,na,0.55,0.163963564833546,1.32090025299692,61718,d02dee30-6a5b-4148-b3f2-17d9943bec12
v2,SVM,center & scale & Nothing,balanced,64,na,0.55,0.163963564833546,1.32090025299692,61718,cbee9ede-383a-4265-807f-b956cd414fbd
v2,SVM,center & scale & Nothing,balanced,128,na,0.55,0.163963564833546,1.32090025299692,61718,7bc9022a-ca58-4c7e-9139-0f423895c397
v2,SVM,center & scale & Nothing,balanced,256,na,0.55,0.163963564833546,1.32090025299692,61718,a7b0b2c5-6d4d-4131-8dd8-bb8ddbb0bf77
v2,SVM,center & scale & Nothing,balanced,512,na,0.55,0.163963564833546,1.32090025299692,61718,8c227875-3756-41ca-bf9b-82f500bc16c0
v2,SVM,center & scale & Nothing,balanced,1024,na,0.55,0.163963564833546,1.32090025299692,61718,82c10d45-813d-4281-a96e-15fe4b764c96
