CAT,ID
0,"Litter"
1,"Mineral"
2,"FernAlly"
3,"ForbFlower"
4,"GraminoidGrass"
5,"GraminoidSedge"
6,"DarkTerrestrialMacrolichen"
7,"LightTerrestrialCrustose"
8,"LightTerrestrialMacrolichen"
9,"YellowTerrestrialCrustose"
10,"YellowTerrestrialMacrolichen"
11,"MossAcrocarp"
12,"MossPleurocarp"
13,"MossSphagnum"
14,"ShrubAlder"
15,"ShrubBetula"
16,"ShrubDecidOther"
17,"ShrubSalix"
18,"ShrubEvergreenNeedle"
19,"ShrubEvergreenBroadleaf"
20,"TreeBetula"
21,"TreeBroadleafOther"
22,"TreePopulus"
23,"TreeConiferOther"
24,"TreeSpruce"
25,"Unknown"
