"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Litter",0,0,0,0
"2","Mineral",0,0,0,0
"3","FernAlly",0,0,0,0
"4","ForbFlower",0,0,0,0
"5","GraminoidGrass",0,0,0,0
"6","GraminoidSedge",0,0,0,0
"7","DarkTerrestrialMacrolichen",0,0,0,0
"8","LightTerrestrialCrustose",0,0,0,0
"9","LightTerrestrialMacrolichen",0,0,0,0
"10","YellowTerrestrialCrustose",0,0,0,0
"11","YellowTerrestrialMacrolichen",0,0,0,0
"12","MossAcrocarp",0,0,0,0
"13","MossPleurocarp",0,0,0,0
"14","MossSphagnum",0,0,0,0
"15","ShrubAlder",0,0,0,0
"16","ShrubBetula",0,0,0,0
"17","ShrubDecidOther",0,0,0,0
"18","ShrubSalix",0,0,0,0
"19","ShrubEvergreenNeedle",0,0,0,0
"20","ShrubEvergreenBroadleaf",0,0,0,0
"21","TreeBetula",0,0,0,0
"22","TreeBroadleafOther",0,0,0,0
"23","TreePopulus",0,0,0,0
"24","TreeConiferOther",0,0,0,0
"25","TreeSpruce",0,0,0,0
"26","Unknown",0,0,0,0
