"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Dead Salix",0,0,0,0
"2","Pices (bark)",0,0,0,0
"3","Bare Rock",0,0,0,0
"4","Bare Soil",0,0,0,0
"5","Quartz",0,0,0,0
"6","Equisetum arvense",0,0,0,0
"7","Equisetum sylvaticum",0,0,0,0
"8","Arenaria pseudofrigida",0,0,0,0
"9","Heracleum lanatum",0,0,0,0
"10","Hieracium sp.",0,0,0,0
"11","Iris sp.",0,0,0,0
"12","Lupinus sp.",0,0,0,0
"13","Pedicularis racemosa",0,0,0,0
"14","Pedicularis sudetica",0,0,0,0
"15","Petasites frigida",0,0,0,0
"16","Pestasites frigidus",0,0,0,0
"17","Saxifraga punctata",0,0,0,0
"18","Toefeldia sp.",0,0,0,0
"19","Arctagrostis latifolia",0,0,0,0
"20","Arctophila fulva",0,0,0,0
"21","Calamogrostis sp.",0,0,0,0
"22","Dupontia fisheri",0,0,0,0
"23","Carex sp.",0,0,0,0
"24","Carex aquatilis",0,0,0,0
"25","Eriophorum vaginatum",0,0,0,0
"26","Eriophorum angustifolium",0,0,0,0
"27","Bryoria sp.",0,0,0,0
"28","Cetraria islandica",0,0,0,0
"29","Cetraria laevigata",0,0,0,0
"30","Masonhalea richardsonii",0,0,0,0
"31","Melanelia sp.",0,0,0,0
"32","Peltigera apthosa",0,0,0,0
"33","Peltigers leucophlebia",0,0,0,0
"34","Peltigera malacea",0,0,0,0
"35","Peltigera scabrata",0,0,0,0
"36","Porpidia sp.",0,0,0,0
"37","Rhizocarpon sp.",0,0,0,0
"38","Umbilicaria arctica",0,0,0,0
"39","Umbilicaria hyperborea",0,0,0,0
"40","Icmadophila ericetorum",0,0,0,0
"41","Pilophorus acicularis",0,0,0,0
"42","Stereocaulon sp.",0,0,0,0
"43","Trapelopsis granulosa",0,0,0,0
"44","Alectoria ochroleuca",0,0,0,0
"45","Arctocetraria centrifuga",0,0,0,0
"46","Asahinea chrysantha",0,0,0,0
"47","Cladonia cornuta",0,0,0,0
"48","Cladonia gracilis",0,0,0,0
"49","Cladonia rangiferina",0,0,0,0
"50","Cladonia stygia",0,0,0,0
"51","Hypogymnia austerodes",0,0,0,0
"52","Parmelia omphalodes",0,0,0,0
"53","Parmelis sulcata",0,0,0,0
"54","Unknown",0,0,0,0
"55","Rhizocarpon geographicum",0,0,0,0
"56","Cladonia amaurocraea",0,0,0,0
"57","Cladonia mitis",0,0,0,0
"58","Cladonia steallaris",0,0,0,0
"59","Cladonia sulphurina",0,0,0,0
"60","Cladonia uncialis",0,0,0,0
"61","Dactylina arctica",0,0,0,0
"62","Evernia mesomorpha",0,0,0,0
"63","Flavocetraria cucculata",0,0,0,0
"64","Flavocetraria nivalis",0,0,0,0
"65","Nephroma arcticum",0,0,0,0
"66","Parmeliopsis ambigua",0,0,0,0
"67","Usnea lapponica",0,0,0,0
"68","Usnea scabrata",0,0,0,0
"69","Vulpicida pinastri",0,0,0,0
"70","Aulacomnium palustre",0,0,0,0
"71","Aulacomnium turgidum",0,0,0,0
"72","Ceratadon purpureus",0,0,0,0
"73","Dicranum sp.",0,0,0,0
"74","Plagiomnium sp.",0,0,0,0
"75","Polytrichum juniperinum",0,0,0,0
"76","Polytrichum strictum",0,0,0,0
"77","Polytrichum sp.",0,0,0,0
"78","Racomitrium lanoiginosum",0,0,0,0
"79","Hylocomium splendens",0,0,0,0
"80","Pleurozium schreberi",0,0,0,0
"81","Rhytidum rugosum",0,0,0,0
"82","Tomenthypnum nitens",0,0,0,0
"83","Sphagnum sp.",0,0,0,0
"84","Sphagnum fuscum",0,0,0,0
"85","Alnus sp.",0,0,0,0
"86","Betula nana",0,0,0,0
"87","Arctostaphyllos",0,0,0,0
"88","Rhus typhina",0,0,0,0
"89","Rosa acicularis",0,0,0,0
"90","Rubus sp.",0,0,0,0
"91","Vaccinium uliginosum",0,0,0,0
"92","Salix alaxensis",0,0,0,0
"93","Salix arbusculoides",0,0,0,0
"94","Salix glauca",0,0,0,0
"95","Salix lanata",0,0,0,0
"96","Salix ovalifolia",0,0,0,0
"97","Salix pulchra",0,0,0,0
"98","Salix richardsonii",0,0,0,0
"99","Salix (wooly)",0,0,0,0
"100","Salix phlebophylla",0,0,0,0
"101","Cassiope tetragona",0,0,0,0
"102","Dryas sp.",0,0,0,0
"103","Empetrum nigrum",0,0,0,0
"104","Ledum decumbens",0,0,0,0
"105","Loisleuria procumbens",0,0,0,0
"106","Vaccinium vitis-idea",0,0,0,0
"107","Betula alleghaniensis",0,0,0,0
"108","Betula neoalaskana",0,0,0,0
"109","Betula papyrifera",0,0,0,0
"110","Betula populifolia",0,0,0,0
"111","Acer rubrum",0,0,0,0
"112","Acer pensylvanicum",0,0,0,0
"113","Fagus grandifolia",0,0,0,0
"114","Fraxinus americana",0,0,0,0
"115","Prunus pensylvanica",0,0,0,0
"116","Quercus Rubra",0,0,0,0
"117","Populus balsamifera",0,0,0,0
"118","Populus grandidentata",0,0,0,0
"119","Abies balsamea",0,0,0,0
"120","Larix larcina",0,0,0,0
"121","Pinus strobus",0,0,0,0
"122","Thuja occidentalis",0,0,0,0
"123","Tsuga canadensis",0,0,0,0
"124","Picea mariana",0,0,0,0
"125","Picea rubens",0,0,0,0
