source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
v2,CART (non-ordinal/SE),Nothing,balanced,8,,0.716666666666667,0.133077065175959,1.46980309419365,61718,faf01c27-7a95-44d8-9c75-562996747447
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.7,0.248645678844795,1.19797759500293,61718,be5e1d84-3829-4770-8cc7-1cbffec7b4b1
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.7,0.248645678844795,1.19797759500293,61718,0ab4538c-8b63-4c1a-8f4a-0cba7fd4cf4b
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.775,0.217484798145008,1.29929244580929,61718,0e9a1f5f-eae6-470e-bccc-0bd787fbc740
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.7625,0.192115245987196,1.28903243816113,61718,1750d453-4a79-4528-8995-c99583d06be9
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.71875,0.166926683433774,1.29873981852991,61718,e677e4c5-fcb2-479d-953c-5f6d0ab3ec27
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.71875,0.166926683433774,1.29873981852991,61718,e9842493-6b14-4ecd-aab7-5445f9f77d04
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.675,0.225179067866204,1.25781499155861,61718,f78417de-3a83-4571-b820-a802f294a7e4
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.74375,0.290361401879623,1.20761490499391,61718,85cfce2c-29df-47b7-9134-0bc9a79cdd6b
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.66875,0.187148290697262,1.42160146195957,61718,fa936d80-3234-4ebf-acaa-df31ea073f0b
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.66875,0.187148290697262,1.42160146195957,61718,182c63dd-dd57-426e-88fe-dc531ca61866
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.7125,0.285652141020898,1.16792333772395,61718,c17b2f51-fdef-4014-91cb-23b098b87ebc
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.65,0.201317731999783,1.19372296700273,61718,3343bd0d-eba0-491e-9e38-63a26b830564
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.64375,0.180423837093762,1.47986685044496,61718,bee0ed45-d484-49d4-91f2-376663dd9450
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.64375,0.180423837093762,1.47986685044496,61718,bcfa2dbd-b405-4a21-add2-f51a538ca7db
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.6625,0.399686563291098,1.07153336685788,61718,186f0139-5011-4d48-be05-62923d3e70a5
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.64375,0.228628323857353,1.17341790462185,61718,04531110-d29c-4878-9c2c-eadc1bad11cf
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.6,0.28561477993269,1.32583266429857,61718,44d5d1c0-e417-4154-a47c-b0aa2493b9c4
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.6,0.28561477993269,1.32583266429857,61718,795975a0-a5e3-465b-9611-a4f6efd0fe52
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.6625,0.318342206814851,1.11845071230236,61718,cad27571-d085-485c-b9b0-2bf84a439812
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.675,0.260802706419395,1.10581492812431,61718,28b2a11d-33c2-47af-bf05-477bb3c4b340
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.625,0.113401064075018,1.4333912794928,61718,3dc3dc43-4b12-4ec8-826b-1c41271a6087
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.625,0.113401064075018,1.4333912794928,61718,5b51dfdc-3184-480e-ba23-09020eb7a665
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.61875,0.24794536157926,1.40333373544211,61718,669f62c6-caf1-4419-80b9-f8f7e5af94f9
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.60625,0.24794536157926,1.40333373544211,61718,1d7bc4d4-47d2-4734-a345-9d268d417c02
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.725,0.0987117066443924,1.30450524879341,61718,4eb06902-c635-4c03-9206-1fba1b641efd
v2,CART (non-ordinal/SE),Nothing,balanced,,na,0.725,0.0987117066443924,1.30450524879341,61718,f96f33fa-7d80-4e4c-895a-849bf5f744a3
