source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
75,PLS,center + scale,balanced,6,,0.516666666666667,0.046589255860305,1.82014988572042,61718,d4f1dd37-1495-4fa3-86ee-0d5b78a96795
75,PLS,center + scale,balanced,8,,0.533333333333333,0.0409766292277595,1.68921548934213,61718,ad7594ec-78ea-4c91-9a75-da3cb6b3833d
75,PLS,center + scale,balanced,10,,0.558333333333333,0.0568910257731614,1.6403639327396,61718,9d8fd0db-9a03-4c58-86f6-f82435c25cf0
75,PLS,center + scale,balanced,12,,0.616666666666667,0.0974724500371086,1.61474008389228,61718,f54a439e-157b-444a-bab5-c53b0a01f5e3
75,PLS,center + scale,balanced,14,,0.591666666666667,0.124664635032513,1.56439051733787,61718,c4ea1419-33ca-4ee4-a972-21d133af785f
75,PLS,center + scale,balanced,16,,0.6,0.117360411999494,1.58985570010342,61718,e229ca43-dc3b-4415-834f-cc79f172e9eb
75,PLS,center + scale,balanced,18,,0.6,0.117360411999494,1.58985570010342,61718,b09507da-bc2a-4b35-94b1-f3179fcf54e8
75,PLS,center + scale,balanced,20,,0.625,0.119651179095523,1.59052779181296,61718,059f3089-d874-4505-8c42-9bb23fdb2f92
75,PLS,center + scale,balanced,22,,0.625,0.119651179095523,1.59052779181296,61718,86f5756e-b248-48e9-89fa-52c2e6515c2d
75,PLS,center + scale,balanced,24,,0.625,0.119651179095523,1.59052779181296,61718,9b236ac4-4da5-471f-871e-42764db08d84
75,PLS,center + scale,balanced,26,,0.625,0.119651179095523,1.59052779181296,61718,6fbbee48-a694-4e17-a469-0ffca2899883
75,PLS,center + scale,balanced,28,,0.625,0.119651179095523,1.59052779181296,61718,3deb69ba-bfa8-40e1-a762-f95b587f7e7e
75,PLS,center + scale,balanced,30,,0.625,0.119651179095523,1.59052779181296,61718,a7e7ff76-a925-4007-a501-5e30e992c4c3
75,PLS,center + scale,balanced,32,,0.625,0.119651179095523,1.59052779181296,61718,faec98f0-30d8-4feb-9ec6-5ecd0a984c54
125,PLS,center + scale,balanced,6,,0.53125,0.0896067774400586,1.43435633317954,61718,4c9da669-35e9-4bc1-ab98-13a122493561
125,PLS,center + scale,balanced,8,,0.56875,0.174062535170333,1.3802641878799,61718,06f86c0b-b70d-42d3-8fa6-6163df829608
125,PLS,center + scale,balanced,10,,0.6,0.186829954812585,1.29065220380682,61718,c9088226-b670-4301-b6d5-30e989334444
125,PLS,center + scale,balanced,12,,0.6375,0.21347522695736,1.23293565034681,61718,abf9a303-6ae5-42a4-8286-45d5c7c5cc6e
125,PLS,center + scale,balanced,14,,0.63125,0.210436173639044,1.2414951410424,61718,838918fe-fc01-4f1a-8eaf-724d68cb1c20
125,PLS,center + scale,balanced,16,,0.6375,0.243530146307115,1.21369262038476,61718,a9bf2a32-707e-49a7-82bf-7ddcfeaa4fa8
125,PLS,center + scale,balanced,18,,0.6375,0.243530146307115,1.21369262038476,61718,9780592c-258c-4ce4-a3ad-35911209c007
125,PLS,center + scale,balanced,20,,0.6375,0.243530146307115,1.21369262038476,61718,a85bdd2b-9341-44d2-96db-f1e560ac40fd
125,PLS,center + scale,balanced,22,,0.6375,0.243530146307115,1.21369262038476,61718,c32318d3-36bc-409a-85dc-84c60587126f
125,PLS,center + scale,balanced,24,,0.6375,0.243530146307115,1.21369262038476,61718,effcb94e-1a9e-4595-aacf-2eaf37977fe7
125,PLS,center + scale,balanced,26,,0.6875,0.27118135400259,1.12993847897511,61718,6e3c3c0d-9944-4dbe-829c-1d42cfdaf75e
125,PLS,center + scale,balanced,28,,0.6875,0.264986075023013,1.12593102882538,61718,f8450bbc-8aed-4e7b-9423-4f9d9341a9d0
125,PLS,center + scale,balanced,30,,0.6875,0.264986075023013,1.12593102882538,61718,4038e647-b670-4545-ad88-52f761136164
125,PLS,center + scale,balanced,32,,0.7,0.313427976670599,1.11990544643189,61718,0a7fcd41-f026-4e9b-82b7-bc719488ccc3
300,PLS,center + scale,balanced,6,,0.43125,0.0948163068378233,1.54487026822416,61718,37cb24e4-aaee-4735-b2ee-5a0777a9647a
300,PLS,center + scale,balanced,8,,0.55,0.182561787863131,1.3065434643433,61718,2618b7d3-99ba-4dae-83da-841504cdb10c
300,PLS,center + scale,balanced,10,,0.61875,0.173311314080447,1.22635738384394,61718,075190dc-b700-4619-9c00-4ee44816fe95
300,PLS,center + scale,balanced,12,,0.64375,0.192435617180655,1.22382432928708,61718,fd0ffe19-96f7-4ba7-9d4c-7e44d6bdc2d5
300,PLS,center + scale,balanced,14,,0.64375,0.202416961800675,1.19962941203769,61718,cd77a918-e9e6-4afb-a02c-80e803e4ba2e
300,PLS,center + scale,balanced,16,,0.64375,0.206889859654892,1.18542561655201,61718,ae58a3da-c7bd-4657-bc39-34dbae8381be
300,PLS,center + scale,balanced,18,,0.66875,0.246460487708579,1.11215021949482,61718,c927d1ef-8ae6-471b-8b17-4d9a5477e6a8
300,PLS,center + scale,balanced,20,,0.66875,0.246460487708579,1.11215021949482,61718,c9bc5690-f625-414a-b852-9a1b3722e6a4
300,PLS,center + scale,balanced,22,,0.6625,0.23916891594966,1.07904608215212,61718,7f628fcd-d15f-4ef9-b9b7-e038d3fdddb9
300,PLS,center + scale,balanced,24,,0.66875,0.244710134158819,1.0879082790578,61718,8dab5f40-1c78-4f4a-8c0c-a38f9af7c94c
300,PLS,center + scale,balanced,26,,0.7125,0.255863428083211,1.0871286465892,61718,ec02e713-d20b-430c-a739-9e1b5e5bae0c
300,PLS,center + scale,balanced,28,,0.73125,0.243359433120704,1.12061915673442,61718,8600a4ff-5a90-4563-a9c7-f12ede04d671
300,PLS,center + scale,balanced,30,,0.73125,0.257627571814152,1.11882305368108,61718,a8670ad5-bf29-4e66-98bf-52bfe55f6a37
300,PLS,center + scale,balanced,32,,0.73125,0.257627571814152,1.11882305368108,61718,689f6aeb-5609-461e-bc40-f352588ade07
500,PLS,center + scale,balanced,6,,0.50625,0.0873982198192157,1.60247925684838,61718,d9badb58-fddb-447e-8935-e930f1c05a93
500,PLS,center + scale,balanced,8,,0.58125,0.168434131703194,1.34707262539513,61718,6bb8d600-6e90-46aa-893f-82065aaf0e98
500,PLS,center + scale,balanced,10,,0.6125,0.173968773395483,1.27974859269466,61718,f0dd8d93-3933-433f-a210-6c474f4a81cc
500,PLS,center + scale,balanced,12,,0.6625,0.184094086189573,1.26523855215069,61718,4a0e9103-ed66-454f-8eaf-3c70aa22f47f
500,PLS,center + scale,balanced,14,,0.6625,0.194536267516343,1.25036000613152,61718,249b26d4-20fa-49e2-b1be-831a0b5c1614
500,PLS,center + scale,balanced,16,,0.70625,0.21367189487536,1.20106923754568,61718,811b38c2-a578-4902-bc03-f7966d1e0ea8
500,PLS,center + scale,balanced,18,,0.70625,0.21367189487536,1.20106923754568,61718,7c86509e-1ece-499e-86e4-278bbc86eba6
500,PLS,center + scale,balanced,20,,0.70625,0.21367189487536,1.20106923754568,61718,c49b2542-d313-478f-9022-14aca31c718d
500,PLS,center + scale,balanced,22,,0.66875,0.241798169133167,1.14207418418025,61718,41b396b9-65b1-4dd0-80d3-288517f94815
500,PLS,center + scale,balanced,24,,0.675,0.218055780302881,1.15849585370178,61718,2fc8e6ba-bbe5-4c96-b328-c9966dadb496
500,PLS,center + scale,balanced,26,,0.66875,0.20786384169253,1.17046975148072,61718,70a3d8bb-2dc5-4933-b8a3-28e84b461cfb
500,PLS,center + scale,balanced,28,,0.675,0.224943704739742,1.18257874667613,61718,3b1a7b05-18c4-4eae-970d-b87bea3bc0c9
500,PLS,center + scale,balanced,30,,0.68125,0.239127591195288,1.17340653235027,61718,cb49fe6e-599d-44a8-b2ba-3d3f306ec5a2
500,PLS,center + scale,balanced,32,,0.69375,0.25406638720134,1.1483498191447,61718,c27142d4-a4d1-4a48-886e-5f60c3913a07
750,PLS,center + scale,balanced,6,,0.49375,0.0950270867646201,1.57471047860482,61718,3d87e257-c230-44b1-b017-d7052a92286e
750,PLS,center + scale,balanced,8,,0.54375,0.198136260386857,1.30620632386008,61718,e01e1d03-6820-42af-97d6-d7d1d6b04c9a
750,PLS,center + scale,balanced,10,,0.58125,0.196341269934375,1.24954445282939,61718,5bd44f61-0a30-4683-bfae-872a77930e42
750,PLS,center + scale,balanced,12,,0.6125,0.208918668931185,1.24330032883579,61718,89054184-d186-4946-80f4-ba9f7312cb00
750,PLS,center + scale,balanced,14,,0.625,0.217166237818505,1.24477720827221,61718,4c63609f-884c-4e2a-b962-bc2cb9794fff
750,PLS,center + scale,balanced,16,,0.6375,0.23220545800288,1.19537162780619,61718,c3612d7e-3260-43e4-850a-94f4bbcded5d
750,PLS,center + scale,balanced,18,,0.65,0.244332010358093,1.1753165967914,61718,d661ff63-fdb3-4b0e-92fa-2349afcb22fd
750,PLS,center + scale,balanced,20,,0.66875,0.262556219425769,1.17767998522368,61718,2762b648-93f2-4b4f-adc1-cb7f01a87200
750,PLS,center + scale,balanced,22,,0.675,0.265600965930199,1.16630294351855,61718,c8198a5e-725b-43f4-ae82-e05bb39ad687
750,PLS,center + scale,balanced,24,,0.675,0.272614452040089,1.14686807071545,61718,74bb9393-c36f-4497-b5e4-ba9309345f5b
750,PLS,center + scale,balanced,26,,0.68125,0.27584615578578,1.14021201656214,61718,25b3f9d8-4821-4798-a39d-9aa0b864ffc2
750,PLS,center + scale,balanced,28,,0.7,0.265150038651776,1.16091581808534,61718,678d6e33-658d-4a0c-8c10-0091c4c6b2ac
750,PLS,center + scale,balanced,30,,0.69375,0.272785380873236,1.17775073467831,61718,ee7d7058-13e1-4699-a771-a8d141afb839
750,PLS,center + scale,balanced,32,,0.69375,0.284051830241196,1.15530054267574,61718,d92cb872-4a1f-41dd-9766-6bc94b69db8c
1000,PLS,center + scale,balanced,6,,0.4875,0.0750109514846395,1.6123483268367,61718,5dd86f07-5ee1-4929-9843-2aa5176fef5b
1000,PLS,center + scale,balanced,8,,0.5,0.188789482786494,1.37434739581849,61718,4e73b125-833b-4b77-b8e5-9f19e689b28c
1000,PLS,center + scale,balanced,10,,0.50625,0.182024062976148,1.30629807031792,61718,009cd99a-0eba-4f73-a9b0-c4feecd599af
1000,PLS,center + scale,balanced,12,,0.5625,0.202922317535377,1.290243998283,61718,a39d628a-5a6e-4257-83e9-41b0643012f2
1000,PLS,center + scale,balanced,14,,0.58125,0.205339074760679,1.2986026327557,61718,8c05538a-9d79-41d7-9ab6-8b8895148f59
1000,PLS,center + scale,balanced,16,,0.59375,0.230368322360384,1.24225285262349,61718,392770b5-c200-46af-89e9-134ab16f2c31
1000,PLS,center + scale,balanced,18,,0.6,0.227769796750407,1.23101721062082,61718,7d205cc4-8e05-4c6b-9eff-c74effcd4656
1000,PLS,center + scale,balanced,20,,0.6,0.274292485283612,1.20772277052437,61718,760c8b57-4299-4258-86f8-d9f7e54e8009
1000,PLS,center + scale,balanced,22,,0.60625,0.275248140818345,1.21907289916449,61718,a7045b09-4e9b-40f3-9727-8127bcaa895a
