source,outliers,preprocessing,weight,n,oob,accuracy,r2,rpd,seed,model_id
0.97,Random Forest,Nothing,balanced,2,,0.716666666666667,0.10450951562789,1.4551498396066,61718,095be005-9b3e-46da-85a1-f5d2f4c88d96
0.97,Random Forest,Nothing,balanced,4,,0.783333333333333,0.0954848407654588,1.21030584860596,61718,7cbc67c1-9eb3-4f8e-b4c2-74c73b607ca0
0.97,Random Forest,Nothing,balanced,8,,0.808333333333333,0.161225323215225,1.19070678130197,61718,d2dc5359-8a8e-483e-8f20-5c2d100c62c3
0.97,Random Forest,Nothing,balanced,16,,0.833333333333333,0.12782310363235,1.36000242997573,61718,40efbd91-ef6d-437e-bf58-89eb93b963e4
0.97,Random Forest,Nothing,balanced,32,,0.85,0.103004104220129,1.34433082321989,61718,2e3b4f71-0cf4-45c3-8e48-46a6df865538
0.97,Random Forest,Nothing,balanced,64,,0.875,0.106815611251425,1.3821634199809,61718,451937a4-e511-4bec-bf41-927e90f5b276
0.97,Random Forest,Nothing,balanced,128,,0.866666666666667,0.100082367108551,1.50799063742969,61718,c2557fc2-a30d-417e-84f1-07bd6a2b1d7b
0.97,Random Forest,Nothing,balanced,256,,0.883333333333333,0.0990899812144829,1.50657011782278,61718,3c04da92-13e4-4ab6-9b75-7de3172fa65d
0.97,Random Forest,Nothing,balanced,512,,0.883333333333333,0.0977387068151577,1.5223723634173,61718,388f6d38-0581-466f-a3a9-0d8d3d63f3dd
0.98,Random Forest,Nothing,balanced,2,,0.708333333333333,0.136645409620008,1.35201037720787,61718,1f9e6572-41df-43f2-baf0-a5d52ccde1b8
0.98,Random Forest,Nothing,balanced,4,,0.833333333333333,0.135633072242801,1.40296868481679,61718,f2247fc1-848d-4457-9490-33105a162c6e
0.98,Random Forest,Nothing,balanced,8,,0.841666666666667,0.119384527805116,1.42950285539145,61718,db67c2c8-9f40-4f12-9356-c278cb91707f
