source,outliers,preprocessing,model_id
grd,clipped,minmax,b5c8d838-c36c-4173-bb5b-7ddc91b685da
grd,clipped,raw,4750c1b3-54bd-44cf-be87-27694c109043
grd,clipped,robust,abc6db2a-23a5-40f8-bae7-2b82bccdc0dd
grd,clipped,standard,d68c5641-4197-4ec0-8103-34a256fe3203
grd,clipped,minmax,8a5a9be2-23f8-4752-ba42-a0592c4ecdae
grd,clipped,raw,cd46c134-bfc9-4938-a995-6e3fda63fba6
grd,clipped,robust,6251e8eb-2176-4ea6-bff0-5d91fb307ee3
grd,clipped,standard,41e7a280-412f-4aa7-a97b-15846d8b6b17
grd,imputed,minmax,b24c62a5-5bc9-4b32-98ee-7052773737e2
grd,imputed,raw,39f05ae1-9ca0-447e-880e-82c8756eb943
grd,imputed,robust,0e7979e9-fb87-4aa9-b265-5f1a6c4279e3
grd,imputed,standard,94c8396c-bae8-4bd0-b49e-56ba2ca56af1
grd,raw,minmax,47613d99-42c2-4145-8f31-c587adb3eb61
grd,raw,raw,e7e8f519-3784-443c-8c69-9039556b499a
grd,raw,robust,50bf7899-1f1c-458b-b10d-16736e44c8ff
grd,raw,standard,ad562f3f-029f-43da-8b64-0c1cfbc7a3b7
img,clipped,minmax,0831a1b8-80f1-43b0-98f6-878e5dbfbf57
img,clipped,raw,04905eb0-212f-4ac5-b910-13dd35d5f28b
img,clipped,robust,4860c51c-02ce-4530-aa65-517f1021e7af
grd,clipped,minmax,c8ac58de-b445-4543-b9c9-ca2ffac1eb65
grd,clipped,raw,fe9b48c4-0816-49a5-8e54-7e06f76622bb
grd,clipped,robust,7403d27e-1deb-47ef-960f-876f2b60c594
grd,clipped,standard,802decbb-33e6-49d7-bfb9-af9f02c61301
grd,imputed,minmax,4a3a298b-321f-4909-91c4-6985d4c70e73
grd,imputed,raw,ec6c96d8-8485-497c-a2a7-04ed82cd6863
grd,imputed,robust,d3db55a7-c8b5-4a41-a9fd-37505f628610
grd,imputed,standard,f5b930b7-ccc4-4f63-8462-319978fb33c1
grd,raw,minmax,5781a1c4-0693-4adb-ae3e-1d5f7caf1a0a
grd,raw,raw,50e1da6d-3b7f-47b4-8f9c-bfb4eada4388
grd,raw,robust,cedd9578-96ca-4e9c-99c5-9ddf31b76803
grd,raw,standard,aed1c76a-de5b-4f1c-97ca-7121cd7dda71
img,clipped,minmax,6951b2d3-3002-477a-ab28-3065001d9571
img,clipped,raw,96940841-8810-4ed7-91e9-5ef4a6bb5cee
img,clipped,robust,54bc6f64-08cb-4fae-a17f-640cd52bf30c
grd,clipped,minmax,5e3c7fe9-69a2-45a6-be05-182499fef365
grd,clipped,raw,09c241d4-5e96-4d9e-8c8f-61cd004b8731
grd,clipped,robust,b3f37058-b79d-4833-b50b-633cf393eb36
grd,clipped,standard,c0d4bd4d-ef52-4585-b87c-949eca88177a
grd,dropped,minmax,9513933a-c5bf-4288-a5c7-43d4ad078232
grd,dropped,raw,b1f0748e-480d-471f-aea9-74561a44394d
grd,dropped,robust,3c84d6e2-d497-4e9e-b367-c82dd67a7ce8
grd,clipped,minmax,9f5f3a72-089e-4286-b927-5b94f3a8385a
grd,clipped,raw,7afda170-8234-43d2-a58d-d4cf77a239c4
grd,clipped,robust,a90a2c96-221d-46c0-8b46-0796355d3971
grd,clipped,standard,c44c4e30-c927-4afd-85f2-7c95e778d6bc
grd,imputed,minmax,ed29bccf-6101-4227-80e0-86b13a7b9651
grd,imputed,raw,836e920a-4438-4d01-b215-0a52c2d64315
grd,imputed,robust,f9318693-c1f9-4271-a19c-d615cd07b358
grd,imputed,standard,daeb99c1-8f25-4fe3-ae35-01efb649c3e4
grd,raw,minmax,1a06cca5-88a7-4d27-a420-d3489012bf42
grd,raw,raw,f6cdee94-d3f5-43b5-8315-a26553785d0e
grd,raw,robust,b0790e95-e37e-4678-b0d2-3d7b829c9c9d
grd,raw,standard,5b4227c4-3e65-45ab-9d4e-2d70ff771709
img,clipped,minmax,006ca09f-0ab9-48c1-a8b2-a1ffe64a4d1b
img,clipped,raw,06dcdf47-7e01-4f8c-9245-04f4823c9644
img,clipped,robust,0307ddeb-511c-4fb1-86e9-ee1a00520d5e
img,imputed,minmax,9d5e9753-8ece-482e-b621-06914adaab5f
img,imputed,raw,699dcbae-2266-49e5-976b-9215480aca62
img,imputed,robust,2b03e188-b5a0-4a3c-a913-a73be54dfcdd
img,imputed,standard,13152030-cc1b-4e92-8b7e-4abf242ef5dd
img,raw,minmax,c970912a-5d40-4c30-b897-6e886531b95d
img,raw,raw,50434f36-62fd-4b57-8a1a-826c27ac92cc
img,raw,robust,c54ad29b-f537-478b-9cda-038df131218f
